Company,Region,City,Founded,Employees,Revenue_funding,Web,Genres,Sample_games,Internship,Remote,Ownership,Notes
DoubleDown Interactive,US / Canada (+ first-party extensions),"Seattle, WA (USA)",2010,~200-400,social casino,https://www.doubledowninteractive.com,social casino,DoubleDown Casino,unknown,office,DoubleU Games / associated with Korea,Social casino.
Dreamhaven,US / Canada (+ first-party extensions),"Irvine, CA (USA)",2020,~100+,Mike Morhaime studio group,https://www.dreamhaven.com,holding / MMO,Secret Door; Hidden Village studios,unknown,office,private,Former Blizzard president's initiatives.
DrinkBox Studios,US / Canada (+ first-party extensions),"Toronto, ON (Canada)",2008,~30-50,Guacamelee,https://drinkboxstudios.com,metroidvania,Guacamelee!; Severed,unknown,office,independent,Toronto indie action.
EA Montreal,US / Canada (+ first-party extensions),"Montréal, QC (Canada)",2004,~500+,Dead Space; Army of Two historical; Motive relationship,https://www.ea.com,AAA / support,various EA Montréal projects; Motive separate,unknown,office,EA,EA Montreal campus.
EA Motive,US / Canada (+ first-party extensions),"Montréal, QC (Canada)",2015,~300–400,unknown (EA),https://www.ea.com/ea-studios/motive,AAA action,Dead Space remake; Star Wars: Eclipse (in development),unknown,office,EA,Montréal EA studio.
EA Tiburon,US / Canada (+ first-party extensions),"Orlando, FL (USA)",1994,~500+,Madden NFL,https://www.ea.com,sport,Madden NFL; College Football,unknown,office,EA,American football sim.
EA Vancouver,US / Canada (+ first-party extensions),"Burnaby, BC (Canada)",1982,~2000+,NHL; UFC; FC contribution,https://www.ea.com,sport,NHL; UFC; EA FC contribution,yes - internship,office,EA,EA large campus.
Eidos-Montréal,US / Canada (+ first-party extensions),"Montréal, QC (Canada)",2007,~400–500,unknown (Embracer / Crystal),https://www.eidosmontreal.com,AAA action-RPG,Deus Ex; Marvel's Guardians; Thief (historical),unknown,office,Embracer / Crystal Dynamics network,Deus Ex legacy; ownership during Embracer era.
Electronic Arts (EA),US / Canada (+ first-party extensions),"Redwood City, CA (USA)",1982,~13000,annual ~$7B range (company reports),https://www.ea.com,AAA publishing; sports; live service,FIFA/EA FC; Madden; Apex Legends; The Sims,yes — EA internship programs,hybrid (depending on team),public (EA),"Sports + major franchise publisher; DICE, Respawn, BioWare."
Ensemble Studios (tarihsel),US / Canada (+ first-party extensions),"Dallas, TX (USA)",1995-2009,closed,Age of Empires,https://www.microsoft.com,RTS,Age of Empires; Age of Mythology; Halo Wars,-,-,closed (Microsoft),Historical RTS legend; World's Edge continuation.
Epic Games,US / Canada (+ first-party extensions),"Cary, NC (USA)",1991,~4000+,Fortnite + Unreal; billions $,https://www.epicgames.com,live service; engine; store,Fortnite; Unreal Engine; Rocket League,yes — internship / early career,hybrid / office,private (Tencent minority),UE5 + Epic Games Store + Fortnite ecosystem.
Escalation Studios,US / Canada (+ first-party extensions),"Dallas, TX (USA)",2007,BGS transformed into Dallas,Doom VFR,,VR / support,Doom VFR,-,-,Microsoft / ZeniMax,Historical; BGS Dallas.
Firaxis Games,US / Canada (+ first-party extensions),"Hunt Valley, MD (USA)",1996,~200 range,Civilization franchise,https://firaxis.com,4X strategy,Civilization; XCOM (historical),unknown,office,Take-Two / 2K,Sid Meier legacy.
Firesprite,US / Canada (+ first-party extensions),Liverpool (UK; SIE),2012,~250+,unknown (SIE),https://firesprite.com,VR / action,Horizon Call of the Mountain; support for The Dark Pictures,unknown,office,Sony / PlayStation Studios,2021 Sony acquisition.
Frima Studio,US / Canada (+ first-party extensions),"Québec City, QC (Canada)",2003,~100-200,service / VR,https://www.frimastudio.com,service,various co-dev,unknown,office,independent,Québec services.
Gearbox Software,US / Canada (+ first-party extensions),"Frisco, TX (USA)",1999,~500+ (group periodic),Borderlands; Embracer era,https://www.gearboxsoftware.com,looter-shooter / publishing,Borderlands; Brothers in Arms,unknown,office,Take-Two (2024 acquisition news) / Embracer history,Borderlands IP; ownership transitions should be monitored.
Ghost Story Games,US / Canada (+ first-party extensions),"Westwood, MA (USA)",2017,small/medium,unknown,https://ghoststorygames.com,immersive sim,Judas (development),unknown,office,independent,Post Ken Levine (BioShock).
Giant Squid,US / Canada (+ first-party extensions),"Santa Monica, CA (USA)",2013,~20-40,Abzu; The Pathless,https://giantsquidstudios.com,indie exploration,Abzu; The Pathless; Sword of the Sea,unknown,office,independent,Matt Nava; Journey art director legacy.
Glu Mobile / Electronic Arts (Glu),US / Canada (+ first-party extensions),"San Francisco, CA (USA)",2001,Inside EA,Design Home / Covet,https://www.glu.com,mobile lifestyle / licensing,Disney Sorcerer's Arena; MLB Tap,unknown,mixed,EA (2021 acquisition),EA mobile expansion.
Google Stadia Games and Entertainment,US / Canada (+ first-party extensions),Montréal / California,2019,closed (2023),Stadia,,cloud gaming,Stadia first-party projects,-,-,closed (Google),Historical Google Stadia studios.
Guerrilla Games,US / Canada (+ first-party extensions),Amsterdam (Netherlands; SIE),2000,~400+,Horizon franchise,https://www.guerrilla-games.com,AAA open world,Horizon Zero Dawn / Forbidden West,unknown,office,Sony / PlayStation Studios,Decima engine.
Halo Studios (ex-343 Industries),US / Canada (+ first-party extensions),"Redmond, WA (USA)",2007 (343); 2024 rebrand,~500 range,unknown (Microsoft),https://halowaypoint.com,AAA FPS / live service,Halo Infinite; Halo Wars (joint),unknown,office,Microsoft,Xbox first party; Slipspace Engine era.
Hangar 13,US / Canada (+ first-party extensions),"Novato, CA (USA) + Brno / Brighton",2014,~200–300,unknown (2K),https://hangar13games.com,AAA action,Mafia remakes / Mafia III,unknown,multi-office,Take-Two / 2K,Mafia franchise.
Hardsuit Labs,US / Canada (+ first-party extensions),"Seattle, WA (USA)",2012,~50–100,unknown,https://hardsuitlabs.com,FPS / service,Vampire: The Masquerade – Bloodlines 2 (periodic),unknown,office,independent,Seattle; project turnover is seasonal.
Harebrained Schemes,US / Canada (+ first-party extensions),"Seattle, WA (USA)",2011,~30-60,Shadowrun Returns; Battletech,https://harebrained-schemes.com,strategy / RPG,Shadowrun Returns; Battletech; The Lamplighters League,unknown,office,Paradox (acquisition),Seattle strategy/RPG.
Haven Studios,US / Canada (+ first-party extensions),"Montréal, QC (Canada)",2021,~100-150,Fairgame$ / PS studio,https://havenstudios.com,multiplayer / live,Fairgame$ (development),unknown,office,Sony / PlayStation Studios,2022 Sony acquisition; Montréal.
HB Studios,US / Canada (+ first-party extensions),"Lunenburg, NS (Canada)",2000,~100-150,PGA Tour; sports,https://www.hbstudios.com,sport,PGA Tour; various sports,unknown,office,independent (2K relationships periodic),Canada sports studio.
Heart Machine,US / Canada (+ first-party extensions),"Los Angeles, CA (USA)",2012,~20-40,Hyper Light Drifter,https://heartmachine.com,indie action,Hyper Light Drifter; Solar Ash,unknown,hybrid,independent,Pixel art action.
Hi-Rez Studios,US / Canada (+ first-party extensions),"Alpharetta, GA (USA)",2005,~400+,Smite; Fallen Earth historical,https://www.hirezstudios.com,MOBA / hero shooter,Smite; Paladins; Rogue Company,unknown,office,private,Georgia (USA) multiplayer.
High Moon Studios,US / Canada (+ first-party extensions),"Carlsbad, CA (USA)",2005,~200+,unknown (Activision),https://highmoonstudios.com,AAA action,Transformers; Destiny support,unknown,office,Microsoft / Activision,Activision support/first-party studio.
High Voltage Software,US / Canada (+ first-party extensions),"Hoffman Estates, IL (USA)",1993,~100-200 (periodic),co-dev / port / IP,https://www.high-voltage.com,co-dev; port,various co-dev; Hunter: The Reckoning historical,unknown,office,Embracer / Lost Boys relationship,Chicago long-term co-dev.
Hopoo Games,US / Canada (+ first-party extensions),USA (remote),2012,small,Risk of Rain,https://hopoogames.com,roguelike action,Risk of Rain; Risk of Rain 2,unknown,remote,independent,Roguelike shooter.
Hothead Games,US / Canada (+ first-party extensions),"Vancouver, BC (Canada)",2006,~50-100,mobile action,https://www.hotheadgames.com,mobile,Kill Shot Bravo; Rambo,unknown,office,independent,Vancouver mobile.
Housemarque,US / Canada (+ first-party extensions),Helsinki (Finland; SIE),1995,~150–200,unknown (SIE),https://housemarque.com,AAA action/arcade,Returnal; (historical) Resogun,unknown,office,Sony / PlayStation Studios,Finland first party.
Human Head Studios (tarihsel),US / Canada (+ first-party extensions),"Madison, WI (USA)",1997-2019,closed,Prey (2006); Rune,https://humanhead.com,FPS / action,Prey (2006); Rune,-,-,closed,Historical Madison studio.
id Software,US / Canada (+ first-party extensions),"Richardson, TX (USA)",1991,~200 range,unknown (ZeniMax),https://www.idsoftware.com,AAA FPS,Doom; Quake; Rage,unknown,office,Microsoft / ZeniMax,FPS engine and design legacy.
Industrial Toys,US / Canada (+ first-party extensions),"Pasadena, CA (USA)",2012,in EA,Star Wars: Hunters,https://www.industrialtoys.com,mobile / multiplayer,Star Wars: Hunters,unknown,office,EA,EA mobile/multiplayer.
Infinity Ward,US / Canada (+ first-party extensions),"Woodland Hills, CA (USA)",2002,~400+,Modern Warfare,https://www.infinityward.com,AAA FPS,Call of Duty: Modern Warfare,unknown,office,Microsoft / Activision,Modern Warfare line.
Innersloth,US / Canada (+ first-party extensions),"Redmond, WA (USA)",2015,~30-50,Among Us,https://www.innersloth.com,social deduction / mobile-PC,Among Us; The Henry Stickmin Collection,unknown,hybrid,independent,Among Us global phenomenon.
Insomniac Games,US / Canada (+ first-party extensions),"Burbank, CA (USA)",1994,~500+,Spider-Man sales,https://insomniac.games,AAA action,Marvel's Spider-Man; Ratchet & Clank,yes — internship history,office,Sony / PlayStation Studios,2022 Sony acquisition.
Insomniac North Carolina,US / Canada (+ first-party extensions),"Durham, NC (USA)",2020 (not Night School — Insomniac),~50-100,Spider-Man support,https://insomniac.games,AAA support,Marvel's Spider-Man support,unknown,office,Sony / PlayStation Studios,Insomniac satellite studio.
Intercept Games,US / Canada (+ first-party extensions),USA,2020,~50-100,KSP2,https://www.privatedivision.com,space sim,Kerbal Space Program 2,unknown,hybrid,Take-Two,KSP2 studio.
inXile Entertainment,US / Canada (+ first-party extensions),"Fountain Valley, CA (USA)",2002,~100–150,unknown (Microsoft),https://www.inxile-entertainment.com,RPG / CRPG,Wasteland; The Bard's Tale,unknown,office,Microsoft,Brian Fargo; Obsidian sibling studio.
Iron Galaxy,US / Canada (+ first-party extensions),"Chicago, IL (USA)",2008,~200-300,port / fighting,https://www.irongalaxystudios.com,port; fighting,Killer Instinct; port work,unknown,multi-office,independent,Port + fighting.
Irrational Games,US / Canada (+ first-party extensions),"Quincy, MA (USA)",1997-2017,closed / restructuring,BioShock; System Shock 2,https://www.irrationalgames.com,immersive sim,BioShock; BioShock Infinite; System Shock 2,-,-,private (Take-Two),Historical; Ghost Story sequel.
Jam City,US / Canada (+ first-party extensions),"Los Angeles, CA (USA)",2010,~1000+,licensed mobile,https://www.jamcity.com,mobile license / casual,Harry Potter: Puzzles & Spells; Cookie Jam,unknown,hybrid,private (NetEase investment history),IP mobile publishing/development.
Kabam,US / Canada (+ first-party extensions),San Francisco / Vancouver,2006,~400+,Marvel / Fast & Furious mobile,https://kabam.com,mobile action-RPG,Marvel Contest of Champions,unknown,office,Netmarble,Licensed fighting/collection RPG.
King,US / Canada (+ first-party extensions),Stockholm / London (+ San Francisco),2003,~2000+,Candy Crush billions $,https://king.com,mobile match-3 / casual,Candy Crush Saga; Farm Heroes,unknown,hybrid possibility,Microsoft / Activision,Casual mobile revenue engine.
Kitfox Games,US / Canada (+ first-party extensions),"Montréal, QC (Canada)",2015,~20-40,publishing + development,https://www.kitfoxgames.com,indie publishing,Dwarf Fortress (publication); Boyfriend Dungeon,unknown,hybrid,independent,Montreal curator publishing.
Klei Entertainment,US / Canada (+ first-party extensions),"Vancouver, BC (Canada)",2005,~100-150,Don't Starve; ONI,https://www.klei.com,survival / sim,Don't Starve; Oxygen Not Included,unknown,office,Tencent minority,Strong survival/sim portfolio.
Lightspeed LA,US / Canada (+ first-party extensions),"Los Angeles, CA (USA)",—,Tencent Lightspeed internal,global development,https://lightspeed.qq.com,PC/console / mobile,various Lightspeed projects,unknown,office,Tencent,Lightspeed Studios LA.
Lionbridge Games,US / Canada (+ first-party extensions),"Waltham, MA / global",—,thousands,localization / QA,https://www.lionbridge.com/games,localization; testing,—,unknown,distributed,Lionbridge,Game localization/QA.
Looking Glass Studios,US / Canada (+ first-party extensions),"Cambridge, MA (USA)",1990-2000,closed,Thief; System Shock,,immersive sim,Thief; System Shock; Ultima Underworld,-,-,closed,Founder of the immersive sim school.
Lost Boys Interactive,US / Canada (+ first-party extensions),"Chicago, IL (USA)",2021 (High Voltage legacy),~100-200,Diablo IV support / co-dev,https://www.lostboysinteractive.com,AAA co-dev / support,Diablo IV; various Activision/Blizzard support,unknown,office,Embracer,Originating from High Voltage; Embracer studio.
Ludia,US / Canada (+ first-party extensions),"Montréal, QC (Canada)",2007,~200-400,Jurassic World Alive,https://www.ludia.com,mobile license,Jurassic World Alive,unknown,office,Jam City,Montreal licensed mobile.
Machine Zone,US / Canada (+ first-party extensions),"Palo Alto, CA (USA)",2008,~500+,SLG,https://www.machinezone.com,mobile strategy,Mobile Strike; Game of Thrones: Conquest,unknown,multi-office,private,SLG performance marketing.
MachineGames,US / Canada (+ first-party extensions),Uppsala (Sweden; ZeniMax),2009,~150–200,unknown (ZeniMax),https://machinegames.com,AAA FPS,Wolfenstein; Indiana Jones and the Great Circle,unknown,office,Microsoft / ZeniMax,id Tech-based narrative FPS.
Maxis,US / Canada (+ first-party extensions),"Redwood City / Emeryville, CA",1987,~200–300,The Sims,https://www.ea.com/games/the-sims,simulation / life sim,The Sims; SimCity (historical),unknown,office,EA,Studio defining the life sim category.
Media Molecule,US / Canada (+ first-party extensions),Guildford (UK; SIE),2006,~100–150,unknown (SIE),https://www.mediamolecule.com,creative platform / UGC,Dreams; LittleBigPlanet,unknown,office,Sony / PlayStation Studios,UGC tool studio.
Microsoft Gaming / Xbox Game Studios,US / Canada (+ first-party extensions),"Redmond, WA (USA)",2001 (Xbox); 2022 Gaming org,Gaming division tens of thousands (Microsoft),Activision Blizzard acquisition ~$69B (2023); Game Pass subscription,https://www.xbox.com,platform; AAA publishing; subscription,Halo; Forza; Gears; Flight Simulator,yes — Microsoft internship programs,hybrid / office (depending on the team),Microsoft,One of the largest console+PC publishing ecosystems; first-party studio network.
Midway Games,US / Canada (+ first-party extensions),"Chicago, IL (USA)",1988-2009,closed,Mortal Kombat; NBA Jam,,fighting / arcade,Mortal Kombat; Injustice roots; SpyHunter,-,-,closed (bankrupt); WB legacy,Historical arcade/console; NetherRealm continuation.
Mobius Digital,US / Canada (+ first-party extensions),"Los Angeles, CA (USA)",2014,~20-40,Outer Wilds,https://www.mobiusdigitalgames.com,indie exploration / puzzle,Outer Wilds; Echoes of the Eye,unknown,hybrid,independent (Annapurna publishing),Outer Wilds cult hit.
Mojang Studios,US / Canada (+ first-party extensions),Stockholm (Sweden; MS first party),2009,~700 range,Minecraft billions in revenue,https://www.minecraft.net,sandbox; live service,Minecraft,unknown,office / hybrid,Microsoft,"Best-selling game; Sweden-based, Xbox family."
Monolith Productions,US / Canada (+ first-party extensions),"Kirkland, WA (USA)",1994,~200–300,unknown (WB),https://www.lith.com,AAA action,Shadow of Mordor/War; Middle-earth,unknown,office,Warner Bros. Games,Nemesis system; WB studio closure risks should be monitored.
Mountaintop Studios,US / Canada (+ first-party extensions),California (USA),2020,~50-100,multiplayer,https://www.mountaintop.gg,multiplayer,project in development,unknown,office,private,Former Blizzard/Riot talent.
