Company,Region,City,Founded,Employees,Revenue_funding,Web,Genres,Sample_games,Internship,Remote,Ownership,Notes
Crytek Istanbul,Istanbul,Istanbul,2012/2013,unknown (Crytek global ~405),unknown,https://crytek.com,AAA / F2P online; CryEngine,Warface contribution; Hunt ecosystem,yes — TOGED internship history,unknown,Crytek GmbH subsidiary,Turkish-founded Crytek's Istanbul studio.
MadByte Games,Istanbul,Istanbul (Maslak),2012,~40,unknown,https://madbytegames.com,MMOFPS,Zula,unknown (career page exists),unknown,independent,One of Turkey's known MMOFPS studios.
Fugo Games,Istanbul,Istanbul,2010,~58,unknown; claim of 230M+ downloads,https://fugo.com,mobile word / puzzle,Words of Wonders; Words of Wonders: Search,unknown,unknown,independent,Long-standing publisher-developer with word game portfolio.
Vertigo Games,Istanbul,Istanbul (Beşiktaş),2013,~63,unknown,https://vertigogames.co,mid-core; real-time social FPS,Critical Strike,unknown; TOGED member,unknown,independent,Competitive social mobile FPS.
Grand Games,Istanbul,Istanbul,2024,~14–40+,$103M total investment (2025 news),https://grand.gs,hybrid-casual / puzzle,Magic Sort; Car Match,unknown; TOGED member,unknown,independent,Parallel teams with cell model.
Agave Games,Istanbul,Istanbul,2021,unknown,$18M Series A (2024),https://agavegames.com,casual / puzzle / find,Find The Cat; What The Hex,unknown,unknown,independent,Next-gen scaling rapidly with Find the Cat.
Cypher Games,Istanbul,Istanbul,2022,unknown,$30M Series A (2025) + $10M seed,https://cyphergames.com,casual puzzle / chance / social,Match Squad,unknown,unknown,independent,Match-3 + dice mechanics.
Loom Games,Istanbul,Istanbul,2025,unknown,Scopely majority; $1B+ valuation news,https://loom.games,hybrid-casual puzzle,Pixel Flow!,unknown,unknown,Scopely majority,Extraordinarily fast exit/scale after Pixel Flow.
TaleMonster Games,Istanbul,Istanbul,2024,~32,$30M+ Series A range (2026 news),https://talemonster.games,casual puzzle / tower-defense elements,Match Valley,unknown,unknown,independent,Former Peak developers.
Circle Games,Istanbul,Istanbul,unknown,~24,$14.6M total funding (LinkedIn),https://circle.gs,3D organized / match puzzle,unknown,unknown,unknown,independent,Former Good Job / Gram origin founder profile (industry news).
Pine Games,Istanbul,Istanbul,2024,~21,$2.25M seed,https://pinegames.com,mobile merge / adventure,Viking Island: Merge Adventure; Word Weaver; Number Paint,unknown,unknown,independent,Ad-monetised visually appealing casual.
FOMO Games,Istanbul,Istanbul (Şişli),2019,unknown,$5M investment (2022 news),https://fomo.gs,mobile casual / hyper,Traffic Escape!; Color Blocks 3D; Seat Jam 3D,unknown,office (ads listed in Istanbul),independent,Hyper-casual origin.
Revel Games,Istanbul,Istanbul,2022,unknown,Garena / Sandbox investment (amount unknown),https://revel.gs,casual / merge,Merge Now,unknown,unknown,independent,Casual puzzle focused.
Mavis Games,Istanbul,Istanbul (Koşuyolu),2018,~10,$2M seed (Habby),https://mavisgames.com,mobile casual / puzzle,Slidey: Block Puzzle,unknown; TOGED member,unknown,independent,Habby supported retention-focused casual.
Tiramisu Studios,Istanbul,Istanbul (Kağıthane),2015,~14,unknown; claim of 100M+ downloads,https://tiramisu.game,mobile racing / drift,Drift Max; Drift Max Pro; Drift Max World,yes — TOGED internship history,unknown,independent,Drift Max series.
Mayadem,Istanbul,Istanbul (Üsküdar),2015,10–50 range,unknown,https://mayadem.com,children / edutainment,TRT Kids games,yes — TOGED internship history,unknown,independent,Child and education-focused games.
Narcade,Istanbul,Istanbul,2011,10–50 range,unknown,https://narcade.com,mobile casual / bubble-shooter,Farm Blast; Zen Master; Bubble Friends,unknown; TOGED member,unknown,independent,Long-standing mobile publisher-developer.
Noho Games,Istanbul,Istanbul (Zeytinburnu),2018,unknown,unknown,https://noho.games,mobile,unknown,unknown; TOGED member,unknown,independent,TOGED member small/medium studio.
Yamy Studio,Istanbul,Istanbul (Şişli),2020,~20–25,~$300K funding (LinkedIn),https://yamystudio.com,mobile casual,unknown,yes — internship announcement published (Game Developer Intern),unknown,independent,TOGED member with active internship listing history.
Zinky Games,Istanbul,Istanbul (Kartal),2021,unknown,unknown,https://zinkygames.com,mobile puzzle / strategy,unknown,unknown; TOGED member,unknown,independent,Small mobile studio.
Noya Games,Istanbul,Istanbul,unknown,unknown,unknown,https://noyaenterprise.com,game,unknown,unknown; TOGED member,unknown,independent,TOGED member.
Valvolex,Istanbul,Istanbul,unknown,unknown,unknown,https://valvolex.com,game,unknown,unknown; TOGED member,unknown,independent,TOGED member.
Yolo Game Studios,Istanbul,Istanbul,~2022,unknown,unknown,https://yologamestudios.com,hidden-object / puzzle,Find Differences; Find Hidden Objects; Find Master,unknown,unknown,independent,On PocketGamer's 'up and coming' list.
Hyperlab,Istanbul,Istanbul,unknown,unknown,unknown,https://www.hyperlab.games,hybrid-casual,unknown,unknown (remote internship posting history in the industry),office + remote possibility,independent,Hybrid-casual mobile studio.
Core Studios,Istanbul,Istanbul (Üsküdar),unknown,unknown,unknown,https://core-attacks.com,hybrid-casual,Outlets Rush; Suzy's Restaurant,unknown,office (Üsküdar),independent,Hybrid-casual production.
SuperGears Games,Istanbul,Istanbul,2022,unknown,$2.1M seed (2025),https://supergearsgames.com,mobile racing,Racing Kingdom,unknown,unknown,independent,Racing universe.
Midas Games,Istanbul,Istanbul,unknown,~22,$1M (Ludus 2024),https://midas.games,skill-based / casual,unknown,unknown,unknown,independent,Team originating from Gigantic.
Vento Games,Istanbul,Istanbul,unknown,unknown,$4M seed (2026 news),https://ventogames.com,word / puzzle,Blossom Word Search,unknown,unknown,independent,Family-friendly puzzle.
Bold Games,Istanbul,Istanbul,2025,~10,$6M pre-seed (2026),https://boldgames.com,casual / sort-puzzle,Market Match!,unknown,unknown,independent,Dream/Bigger/Rollic alumni founders.
Joker Games,Istanbul,Istanbul (remote),2017,~17,unknown,https://joker.games,mobile casual,unknown,unknown,fully remote (company statement),independent,"Istanbul-based, fully remote studio."
Wixot,Istanbul,Istanbul,2013,~18,unknown,https://wixot.com,mobile casual,unknown,unknown,distributed team possibility,independent,Internationally distributed team.
Nowhere Studios,Istanbul,Istanbul,unknown,unknown,Monochroma Kickstarter $80K+,https://www.nowherestudios.com,PC indie puzzle-platform,Monochroma,unknown,unknown,independent,Silent narrative indie classic.
BitRaiders Games,Istanbul,Istanbul,2025,unknown,unknown,https://www.bitraiders.games,simulation / strategy,Summer Delicious Simulator; Hexa Castle,unknown,unknown,independent,New multi-platform studio.
Rokito Games,Istanbul,Istanbul (Ataşehir),2025,unknown,unknown,https://rokitogames.com,PC/mobile simulation / arcade,unknown,unknown,unknown,independent,Steam publisher independent studio.
Funverse Games,Istanbul,Istanbul (Kağıthane),unknown,unknown,unknown,https://www.funversegames.com,MOBA / battle royale mobile,Hit and Boom,unknown,unknown,independent,Games from Türkiye delegation participant.
Apps,Ankara,Ankara,unknown,unknown,unknown,https://apps.com.tr,game / software,unknown,unknown; TOGED member,unknown,independent,TOGED member list includes Ankara.
TaleWorlds Entertainment,Ankara,Ankara (METU Technopolis),2005,170+ (Mobidictum 2025),Bannerlord millions of copies; revenue estimates in the $16–30M range (3rd party),https://www.taleworlds.com,PC/console sandbox action-RPG / strategy,Mount & Blade; Warband; Bannerlord,yes — TOGED internship history; software internship open position history,office-based (Teknokent); limited international remote contribution,independent,Turkey's flagship PC studio.
UDO,Ankara,Ankara,2013,100+ (Mobidictum 2025; rebrand),WePlay/Lima investment ~$4.2M valuation (2023); TaleWorlds strategic,https://udogames.com,hybrid-casual; publishing; tools (Hammer Hub),Basketball Master; Mafia Life; Goons.io,yes — TOGED internship history,unknown,private (TaleWorlds investor),UDO rebrand in 2025; publishing + tools.
Alictus,Ankara,Ankara (METU Technopolis),2013,25–100 range,SciPlay $100M upfront + contingent (2022),https://alictus.com,hyper-casual mobile,Candy Challenge 3D; Rob Master 3D; Deep Clean Inc.,yes — TOGED internship history,unknown,SciPlay subsidiary,A major example of a hyper-casual exit from Ankara.
Panteon,Ankara,Ankara (METU Technopolis),2012,~90–100,~$10M total funding (3rd party); Teknasyon relationship,https://www.panteon.games,mobile tower-defense / casual / sim,Raid Rush; Airport Master; Arcane Arena,yes — TOGED internship history,unknown,Teknasyon related (3rd party),One of the large mobile studios in Ankara.
Loop Games,Ankara,Ankara (Çankaya),2019,~42,Claim of $60M total funding; high IAP revenue reported,https://loopgames.net,mobile pair-match / puzzle,Match 3D; Match Tile 3D,unknown; TOGED member,unknown,independent,Global scale with Match 3D.
VLMedia,Ankara,Ankara (METU Technopolis),unknown,140+ (company),unknown,https://www.vlmedia.com.tr,social app + game,Waplog; Joi,yes — TOGED internship history,hybrid (company statement),independent,Game + social; hybrid work clearly stated.
Lost Panda Games,Ankara,Ankara (METU Technopolis),unknown,11 (companies),unknown; claim of 20M+ players,https://lostpandagames.com,mobile casual / puzzle / hyper,Put the Nuts; Thread Master; Sort'n Merge; Find the Panda,unknown,unknown,independent,Rapid prototyping culture (300+ prototypes).
MagicLab,Ankara,Ankara (METU Technopolis),2013,~63,unknown; claim of 1.6B+ downloads,https://maglab.com.tr,hyper-casual → casual,unknown,unknown,unknown,independent,High download volume Ankara studio.
Kodobur,Ankara,Ankara (METU Technopolis),unknown,~11,unknown,https://www.kodobur.com,PC/console indie + publishing,The Last Zone,yes — TOGED internship history,unknown,independent,Indie development and publishing.
Backpack Games,Ankara,Ankara,unknown,unknown,unknown,https://www.backpack.games,mobile casual / craft,Sushi Craft; Burger Craft; Clean The Sea!,unknown; TOGED member,unknown,independent,Games from Turkey participant.
MildMania,Ankara,Ankara,2013,unknown,unknown,https://www.mildmania.com,indie mobile puzzle,Darklings; Rop,yes — TOGED internship history,unknown,independent,Quality indie puzzle.
Momend,Ankara,Ankara,unknown,unknown,unknown,https://momend.com,multiplayer mecha,Mech Wars,unknown; TOGED member,unknown,independent,6v6 mecha battle game.
Funexagon,Ankara,Ankara,unknown,unknown,unknown,https://funexagon.net,game,unknown,unknown; TOGED member,unknown,unknown,TOGED member; product detail limited.
Kuixo,Ankara,Ankara,unknown,unknown,unknown,https://www.kuixo.com,mobile puzzle / match,Triple Star,unknown; TOGED member,unknown,independent,Games from Turkey delegation.
Happy Games,Ankara,Ankara,unknown,unknown,unknown,https://www.happygamecompany.com,game,unknown,unknown; TOGED member,unknown,unknown,TOGED member.
Marker Games,Ankara,Ankara (METU Technopolis),2020,~9,unknown,https://marker.gs,game,unknown,unknown; TOGED member,unknown,independent,Small Technopark studio.
Dinomore Games,Ankara,Ankara,2025,unknown,unknown,https://www.dinomoregames.com,PC/console; porting,Ducks In Disguise (demo),unknown; TOGED member,unknown,independent,New PC/console studio.
Otsimo,Ankara,Ankara,2015,unknown,unknown,https://otsimo.com,special training / gamification,Otsimo Special Education,unknown; TOGED member,unknown,independent,Edtech; listed due to TOGED membership.
Pixofun,Ankara,Ankara (METU CoZone),2005/2018 (remake),small (1–10),unknown,https://pixofun.com,serious games / gamification,Footbo City; QuizGame,yes — TOGED internship history,unknown,independent,Serious games / learning.
SciPlay (Ankara varlığı),Ankara,Ankara (via Alictus),—,Alictus team,Alictus acquisition,https://www.sciplay.com,social / casual (group),Alictus portfolio,unknown; on TOGED member list,unknown,SciPlay (publicly traded in the USA),Listed as an Ankara member in TOGED.
Masomo,Izmir,Izmir (+ London),2015/2016,~85–100,Miniclip acquisition 2019,https://masomo.com,social multiplayer sports,Head Ball 2; Basketball Arena,unknown,unknown,Miniclip / Tencent,Izmir's most well-known global exit.
Digitoy Games,Izmir,Izmir (Teknopark Izmir / Urla),2011/2012,~12,unknown; daily ~200K active users (previous statement),https://digitoygames.com,online multiplayer; dominoes / board games,Okey Extra; 101 Okey Extra; Poker Extra,yes — TOGED internship history,unknown,independent,LinkedIn ~12; Teknopark Izmir; board games / okey.
MythraTech,Izmir,Izmir,2018,unknown,unknown,https://www.mythratech.com,PC simulation / strategy / action,Sailor's Journey; Opie the Defender,yes — TOGED internship history,unknown,independent,TOGED member (spelled as MytrhaTech).
Mobge,Izmir,Izmir (Bornova HQ); Eskişehir office,2011/2014,~20,~$360K/year LinkedIn estimate (low confidence),https://mobge.net,premium mobile; platformer; hyper,Oddmar; Hand Strike,unknown,hybrid (2021 statement),independent,Apple Design Award history (Oddmar).
Mage Games,Izmir,Izmir (DEPARK),2022,unknown,$3.5M investment led by Actera (2024); Goal Battle 2M+ downloads,https://magegames.com,PvP mobile sports,Goal Battle,unknown,unknown,independent (Actera/Ludus),DEPARK launched; rising Izmir studio from PocketGamer.
Ruff Games,Izmir,Izmir (Buca / DEPARK),2019,unknown,unknown,https://ruffgamestudio.com,hybrid-casual puzzle,Hidden Case; Factory Jam; Cap Sort,unknown,unknown,independent,DEPARK ecosystem.
Furtle Game,Izmir,Izmir (DEPARK Beta / Buca),2016/2022,~4,TÜBİTAK 1507 support (2025 news),https://furtlegame.com,hyper-casual / idle,Pest Office!; Gold Panning!; Bakery Idle!,unknown,unknown,independent,DEPARK; IZOOTOP Game Jam partnership.
Althera Games,Izmir,Izmir (DEPARK Tınaztepe),unknown,unknown,unknown,https://altheragames.com,Unreal / PC-focused indie,unknown,student/indie support (blog); official internship program unknown,unknown,independent,Publishing UE5 guides and studio setup content.
Sharky Studios,Izmir,Izmir (Konak / Mistral),unknown,unknown,unknown,https://sharkystudios.com,mobile and web,10+ games,unknown,unknown,independent,small studio based in Izmir.
Pyro Games,Izmir,Izmir (Teknopark Izmir),2021,small (2–10),40M+ download claim (Teknopark İzmir),https://pyrogames.io,mobile shooter/merge; PC/console ARPG,K-Sniper Challenge; Merge Battle Tactics; Netherwyn,unknown,unknown,independent,Early mobile volume + Netherwyn ARPG focused.
Toon Metal Games,Izmir,Izmir (Urla / Teknopark Izmir),2021,~11,Boğaziçi Ventures portfolio,https://tm.rocks,casual / hybrid-casual + multiplayer infrastructure,beauty salon; hamster escape; sudoku/decor,career page available,unknown,independent (BV),References to Istanbul; operation in Urla/Teknopark.
Anisoft Games,Izmir,Izmir (Teknopark Izmir),~2021,unknown,unknown,https://anisoftgames.com,mobile,unknown,unknown,unknown,independent,Technopark Izmir registered mobile studio.
Cave Animasyon,Izmir,Izmir (Teknopark Izmir),unknown,unknown,unknown,https://www.cavevfx.com,game + animation / VR / simulation / VFX,unknown,unknown,unknown,independent,Founder from Pixar/DreamWorks; intersection of games and animation.
Stride Games,Izmir,Izmir (Urla),unknown,~6 (LinkedIn),unknown,https://stridegames.co,mobile,unknown,unknown,unknown,independent,Site under construction; Gamescom 2026 İZKA noble.
Gizmolabz,Izmir,Izmir,unknown,unknown,unknown,,game / web game,unknown,unknown,unknown,independent,IZKA Gamescom 2026 waiting list.
Negentra,Eskişehir,Eskişehir,unknown,unknown,unknown,https://www.negentra.com.tr,XR / simulation / digital twin / serious games,unknown,yes — TOGED internship history,unknown,independent,Eskişehir member at TOGED; game + simulation.
Analiz Games,Eskişehir,Eskişehir,2022,unknown,unknown,https://analizgames.com,PC/mobile platform; AI research,Stress Ball (Steam),career page exists; open internship unknown,unknown,independent,Anatolian ecosystem independent studio.
Gorgonize Games,Eskişehir,Eskişehir,2022,unknown,unknown,https://gorgonizegames.com,PC / console / board game,Crime Scene,unknown,unknown,independent,City weak in primary resources; references to Eskişehir.
Zahiri Studio,Eskişehir,Eskişehir,2015,~3,unknown,https://www.linkedin.com/company/zahiri-studio,game art / 2D-3D / UI,service studio,unknown,unknown,independent,"Not a developer, art/service."
Teneke Kafalar Studios,Eskişehir,Eskişehir,unknown,unknown,unknown,https://tenekekafalar.com,PC multiplayer / party / co-op horror,Feign; Feather Party; Throwia,unknown,unknown,independent,City citation level; rich portfolio.
Mobge Eskişehir ofisi,Eskişehir,Eskişehir (Anadolu Teknopark),2014,Mobge total ~20,see Mobge,https://mobge.net,mobile,Oddmar,unknown,hybrid,independent,HQ Izmir; office in Eskişehir.
Pundun Games,Other cities,Bursa,2022/2023,~3,unknown,https://pundun.co,mobile hyper/hybrid/midcore,Smash Ball Up; Merge and Battle!; Chaos Arena,CV accepted (cv@pundun.co); official internship unknown,unknown,independent,Bursa independent studio.
LablaGames,Other cities,Bursa (Osmangazi),unknown,11–50 range,unknown,https://www.linkedin.com/company/lablagames,mobile,unknown,unknown,unknown,LablaSoft,LinkedIn based; cautious registration.
Keby Games,Other cities,Bursa (Nilüfer),2017,unknown,unknown,https://www.keby.net,mobile multiplayer / casual,Nightcore; VegaOnline; Word Busters; Wonder Boys,unknown,unknown,independent (Baypro),Mobile studio based in Bursa.
Click Game Studio,Other cities,Bursa (Nilüfer),~2020,unknown,VOR 4.5M TL + Netmarble Turkey investment (2021),,hyper-casual mobile,unknown,unknown,unknown,Netmarble Turkey related,Bursa hyper-casual; had joined the Netmarble studio network.
SPT Studios,Other cities,Muğla & Bursa,2024,small,unknown,https://sptstudios.com,mobile casual / shooter / puzzle,Glow Tiles; Squad Ops; Boost Raid; Lost Haven,unknown,unknown,independent,Two-city independent mobile studio.
Happy Crab,Other cities,Kocaeli (Technology Valley),2020,unknown,unknown,,mobile development/publishing,unknown,unknown,unknown,independent,AA news; Silicon Valley.
Spell Factory,Other cities,Gebze / Informatics Valley (Kocaeli),~2024/2025,~7 founding team,unknown,https://spellfactory.games,platformer; Web3,Clashub; The Infected Soul,career page available,unknown,independent,Not Eskişehir; Gebze.
ATTA Games,Other cities,Antalya (OSB Technopark / Döşemealtı),2024,~6,unknown,https://atta.games,puzzle / hybrid-casual,unknown,unknown,unknown,independent,Antalya OSB Technopark studio.
32play,Other cities,Antalya (Konyaaltı),2022,~2,$2M fund (LinkedIn),https://32play.pro,game tools / resources,unknown,unknown,unknown,independent,Antalya + US presence.
TAMU Games,Other cities,Antalya,2024,unknown,unknown,,PC / console indie,King Slayer,unknown,unknown,independent,Antalya-based PC/console studio (Tracxn).
Pokuch,Other cities,Trabzon,2019,~10,unknown,https://pokuch.com,PC survival adventure,Blind Descent,unknown,unknown,independent,Trabzon HQ.
Feelcrafters,Other cities,Gaziantep (Teknopark),~2023,unknown,unknown,https://feelcrafters.com,mobile puzzle,unknown,There is a gradual hiring process; internship details unknown,unknown,independent,Gaziantep Technopark studio.
Rubedo Games,Other cities,Mersin,2022,~4,unknown,https://store.steampowered.com/search/?developer=Rubedo%20Games,PC indie,Soulbind: Tales of the Underworld,unknown,unknown,independent,Mersin HQ; international presence.
Arkhe Games,Other cities,Mersin (office; remote team),2021,~34 (company statement; 3 continents),50M+ downloads / 140 countries (company),https://arkhegames.com,mobile hyper/hybrid,Human Fortune; Battery Run,unknown,remote-heavy + Mersin office,independent,Mersin-based scaled mobile studio.
Wide Game Studio,Other cities,Kayseri (AGÜ),2019,~9,$1.2M valuation claim (2024),,AR/VR,Flare Frenzy,unknown,unknown,independent,AA / Workup Gaming visibility.
Kirpy Games,Other cities,Adana (Seyhan),2021,unknown,unknown,https://kirpygames.com,casual / hyper-casual mobile,unknown,unknown,unknown,independent,Adana-based mobile studio.
imaginite Games Studio,Other cities,Adana (Çukurova Teknopark),2015,unknown,unknown,,mobile + animation,unknown,unknown,unknown,independent,Activity could not be verified in 2026; historical record.
Hookey Games,Other cities,Konya (Selçuklu),2020,~5,unknown,https://hookeystudio.com,mobile,unknown,unknown,unknown,independent,Small mobile studio based in Konya.
Boom Codes,Other cities,Samsun Teknopark (HQ Istanbul),2021,small,unknown,https://boomcodes.com,hyper-casual; AI,unknown,unknown,unknown,independent,Samsun office; central Istanbul.
Ruby Games,Istanbul,Istanbul,2017,unknown,AppLovin acquisition (2021),https://rubygames.com,hyper-casual,unknown,unknown,unknown,AppLovin,Early hyper-casual exits.
Stormling Studios,Istanbul,Istanbul,unknown,unknown,unknown,https://stormlingstudios.com,PC/console indie,unknown,unknown,unknown,independent,Local studio mentioned in Wikipedia category.
Motion Blur,Istanbul,Istanbul,unknown,unknown,unknown,https://motionblur.com.tr,cinematic / game visual,unknown,unknown,unknown,independent,Visual studio for games and cinema; classified under game company category.
Simsoft,Ankara,Ankara (METU Technopolis),2006,unknown,unknown,https://simsoft.com.tr,simulation / serious games / defense,unknown,yes — TOGED internship history,unknown,independent,Not a classic game studio; on TOGED internship list.
HAVELSAN,Ankara,Ankara,1982,unknown,unknown,https://havelsan.com.tr,defense simulation / training,unknown,yes — TOGED internship history,unknown,public connection,Not a studio; for simulation scope.
Reo-Tek,Ankara,Ankara (METU Technopolis),unknown,unknown,unknown,https://reo-tek.com,VR / digital museology,unknown,yes — TOGED internship history,unknown,independent,Serious/VR; on TOGED internship list.
Paxie Games,Istanbul,Istanbul,2021,unknown,DoubleU Games 60% stake $27M (2025); Merge Studio $34M+ cumulative revenue report,https://paxiegames.com,mobile merge / casual,Merge Studio: Fashion Makeover; Tile Star; Mahjong Infinity,unknown,unknown,DoubleU Games (majority),Exit from Ludus portfolio; merge-2 hit.
Mission Control Games,Istanbul,Istanbul; London,2026,small (early),"$4M pre-seed (General Catalyst, 2026)",https://missioncontrol.gs,casual puzzle,in early game development stage,unknown,unknown,independent,General Catalyst $4M pre-seed; Merge Dragons! veterans; London+Istanbul.
Mindtail,Istanbul,Istanbul,unknown,unknown,~$2M pre-seed (industry news),,mobile game,unknown,unknown,unknown,independent,Istanbul-based early-stage studio.
Lokum Games,Istanbul,Istanbul,~2010s (Zula origin),unknown,unknown,https://www.lokumgames.com,mobile FPS / shooter,Tactical Strike,unknown,unknown,independent,Mobile shooter platform with Zula experience.
Leap Games,Istanbul,Istanbul,~2023/2024,unknown,unknown,https://www.leapgames.mobi,mobile hidden-object / puzzle,Hidden Tales; Search It,unknown,unknown,independent,Sarıyer/Emirgan; casual hidden-object.
Fortune Mine Games,Istanbul,Istanbul (Kadıköy),2021,~24,$2.85M total funding (Ludus),https://fortunemine.com,social / casual mobile,Coin Chef,unknown,unknown,independent,Long-lasting social casual focus.
Gleam Games,Istanbul,Istanbul,~2021,unknown,Game District acquisition (2024 news),https://gleamgames.com,mobile puzzle / match,EverBlast,unknown,unknown,Game District,job listings active.
Playable Factory,Istanbul,Istanbul,unknown,unknown,Tamatem acquisition (industry news),https://playablefactory.com,playable ad / creative technology,unknown,unknown,unknown,Tamatem,Tamatem acquisition news; focused on playable production.
Hungri Games,Istanbul,Istanbul (+ Belfast),2019,unknown,unknown,https://hungrigames.com,mid-core / RPG / multiplayer mobile,unknown,unknown (career page exists),unknown,independent,"Istanbul-based, international team."
Biotech Gameworks,Istanbul,Istanbul,2023,~10 (LinkedIn),unknown,https://biotechgameworks.com,PC simulation / cooking,Kebab Chefs!,unknown,unknown,independent,Kebab Chefs! cooking/sim.
Abrakadabra Games,Istanbul,Istanbul,unknown,unknown,funded (industry listings),https://abrakadabragames.io,mobile,unknown,unknown,unknown,independent,Istanbul mobile studio.
Apphic Games,Istanbul,Istanbul,unknown,unknown,funded (industry listings),,mobile,unknown,unknown,unknown,independent,Early stage Istanbul studio.
Studio Billion,Istanbul,Istanbul,unknown,unknown,funded (industry listings),,mobile,unknown,unknown,unknown,independent,Istanbul mobile studio.
Gnarly Games,Istanbul,Istanbul,unknown,unknown,WePlay investment (industry),https://gnarlyteam.com,casual mobile,Frontline Heroes; Agent Hunt; Sea Lords,unknown,unknown,independent,Fatih/Balat; WePlay investment history.
Gulliver's Games,Istanbul,Istanbul,unknown,unknown,funded (industry),,mobile,unknown,unknown,unknown,independent,Istanbul mobile studio.
Veloxia,Istanbul,Istanbul,unknown,unknown,Boğaziçi Ventures portfolio,https://veloxia.co,idle / simulation / MOBA,Space Colony: Idle; Idle Port; Embershard,unknown,remote-friendly (career text),independent,Levent; aligned with BV portfolio memorial.
Soft Towel Games,Istanbul,Istanbul,unknown,~10 (LinkedIn),unknown,https://softtowelgames.com,mobile word / puzzle,Words of Paradise; Calming Word Puzzles,unknown,unknown,independent,Şişli + Yeşilköy; Kontra Digital.
Hyper Bandit Games,Istanbul,Istanbul,unknown,unknown,unknown,,hypercasual,unknown,unknown,unknown,independent,Istanbul hypercasual studio.
Sisifos Games,Istanbul,Istanbul,unknown,unknown,unknown,,mobile,unknown,unknown,unknown,independent,Istanbul mobile studio.
Digidodo Games,Istanbul,Istanbul,unknown,unknown,unknown,https://digidodogames.com,hybrid-casual mobile; AI-supported production,unknown,unknown,unknown,independent,Istanbul; rapid prototyping / hybrid-casual.
Boom Games,Istanbul,Istanbul,unknown,unknown,unknown,,mobile / hypercasual,unknown,unknown,unknown,independent,Not to be confused with Boom Codes.
Gamester,Istanbul,Istanbul,unknown,unknown,unknown,,mobile,unknown,yes — TOGED internship history,unknown,independent,Past TOGED internship list.
Nomad Monkey,Istanbul,Istanbul,2023,1–10 (LinkedIn),unknown,https://nomadmonkey.xyz,VR,Tunnels; Downhill Bike; Machine Shop Simulator,unknown,unknown,independent,Tunnels Meta Quest (Mastiff release); OSTİM address trace.
