Firma,Bölge,Şehir,Kuruluş,Çalışan,Gelir_fon,Web,Türler,Örnek_oyunlar,Staj,Uzaktan,Sahiplik,Not
Zinky Games,İstanbul,İstanbul (Kartal),2021,bilinmiyor,bilinmiyor,https://zinkygames.com,mobil puzzle / strateji,bilinmiyor,bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,Küçük mobil stüdyo.
Noya Games,İstanbul,İstanbul,bilinmiyor,bilinmiyor,bilinmiyor,https://noyaenterprise.com,oyun,bilinmiyor,bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,TOGED üyesi.
Valvolex,İstanbul,İstanbul,bilinmiyor,bilinmiyor,bilinmiyor,https://valvolex.com,oyun,bilinmiyor,bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,TOGED üyesi.
Yolo Game Studios,İstanbul,İstanbul,~2022,bilinmiyor,bilinmiyor,https://yologamestudios.com,hidden-object / puzzle,Find Differences; Find Hidden Objects; Find Master,bilinmiyor,bilinmiyor,bağımsız,PocketGamer 'up and coming' listesinde.
Hyperlab,İstanbul,İstanbul,bilinmiyor,bilinmiyor,bilinmiyor,https://www.hyperlab.games,hybrid-casual,bilinmiyor,bilinmiyor (remote staj ilanı geçmişi sektörde geçmiş),ofis + remote ihtimali,bağımsız,Hybrid-casual mobil stüdyo.
Core Studios,İstanbul,İstanbul (Üsküdar),bilinmiyor,bilinmiyor,bilinmiyor,https://core-attacks.com,hybrid-casual,Outlets Rush; Suzy's Restaurant,bilinmiyor,ofis (Üsküdar),bağımsız,Hybrid-casual üretim.
SuperGears Games,İstanbul,İstanbul,2022,bilinmiyor,$2.1M seed (2025),https://supergearsgames.com,mobil yarış,Racing Kingdom,bilinmiyor,bilinmiyor,bağımsız,Yarış evreni.
Midas Games,İstanbul,İstanbul,bilinmiyor,~22,$1M (Ludus 2024),https://midas.games,skill-based / casual,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Gigantic kökenli ekip.
Vento Games,İstanbul,İstanbul,bilinmiyor,bilinmiyor,$4M seed (2026 haber),https://ventogames.com,kelime / puzzle,Blossom Word Search,bilinmiyor,bilinmiyor,bağımsız,Aile dostu puzzle.
Bold Games,İstanbul,İstanbul,2025,~10,$6M pre-seed (2026),https://boldgames.com,casual / sort-puzzle,Market Match!,bilinmiyor,bilinmiyor,bağımsız,Dream/Bigger/Rollic alumni kurucular.
Joker Games,İstanbul,İstanbul (uzaktan),2017,~17,bilinmiyor,https://joker.games,mobil casual,bilinmiyor,bilinmiyor,tam uzaktan (şirket beyanı),bağımsız,"İstanbul tabanlı, tamamen remote çalışan stüdyo."
Wixot,İstanbul,İstanbul,2013,~18,bilinmiyor,https://wixot.com,mobil casual,bilinmiyor,bilinmiyor,dağıtık ekip ihtimali,bağımsız,Uluslararası dağılımlı ekip.
Nowhere Studios,İstanbul,İstanbul,bilinmiyor,bilinmiyor,Monochroma Kickstarter $80K+,https://www.nowherestudios.com,PC indie puzzle-platform,Monochroma,bilinmiyor,bilinmiyor,bağımsız,Sessiz anlatımlı indie klasik.
BitRaiders Games,İstanbul,İstanbul,2025,bilinmiyor,bilinmiyor,https://www.bitraiders.games,simülasyon / strateji,Summer Delicious Simulator; Hexa Castle,bilinmiyor,bilinmiyor,bağımsız,Yeni çok platformlu stüdyo.
Rokito Games,İstanbul,İstanbul (Ataşehir),2025,bilinmiyor,bilinmiyor,https://rokitogames.com,PC/mobil simülasyon / arcade,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Steam yayıncısı bağımsız stüdyo.
Funverse Games,İstanbul,İstanbul (Kağıthane),bilinmiyor,bilinmiyor,bilinmiyor,https://www.funversegames.com,MOBA / battle royale mobil,Hit and Boom,bilinmiyor,bilinmiyor,bağımsız,Games from Türkiye heyeti katılımcısı.
Apps,Ankara,Ankara,bilinmiyor,bilinmiyor,bilinmiyor,https://apps.com.tr,oyun / yazılım,bilinmiyor,bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,TOGED üye listesinde Ankara.
TaleWorlds Entertainment,Ankara,Ankara (ODTÜ Teknokent),2005,170+ (Mobidictum 2025),Bannerlord milyonlarca kopya; gelir tahminleri $16–30M bandı (3. taraf),https://www.taleworlds.com,PC/konsol sandbox aksiyon-RPG / strateji,Mount & Blade; Warband; Bannerlord,evet — TOGED staj geçmişi; yazılım stajı açık pozisyon geçmişi,ofis ağırlıklı (Teknokent); uluslararası uzaktan katkı sınırlı,bağımsız,Türkiye'nin amiral gemisi PC stüdyosu.
UDO,Ankara,Ankara,2013,100+ (Mobidictum 2025; rebrand),WePlay/Lima yatırımı ~$4.2M değerleme (2023); TaleWorlds stratejik,https://udogames.com,hybrid-casual; yayıncılık; araçlar (Hammer Hub),Basketball Master; Mafia Life; Goons.io,evet — TOGED staj geçmişi,bilinmiyor,özel (TaleWorlds yatırımcı),2025'te UDO rebrand; publishing + tools.
Alictus,Ankara,Ankara (ODTÜ Teknokent),2013,25–100 bandı,SciPlay $100M peşin + contingent (2022),https://alictus.com,hyper-casual mobil,Candy Challenge 3D; Rob Master 3D; Deep Clean Inc.,evet — TOGED staj geçmişi,bilinmiyor,SciPlay iştiraki,Ankara hyper-casual exit'inin büyük örneklerinden.
Panteon,Ankara,Ankara (ODTÜ Teknokent),2012,~90–100,~$10M toplam fon (3. taraf); Teknasyon ilişkisi,https://www.panteon.games,mobil tower-defense / casual / sim,Raid Rush; Airport Master; Arcane Arena,evet — TOGED staj geçmişi,bilinmiyor,Teknasyon ilişkili (3. taraf),Ankara'nın büyük mobil stüdyolarından.
Loop Games,Ankara,Ankara (Çankaya),2019,~42,$60M toplam fon iddiası; yüksek IAP geliri beyanı,https://loopgames.net,mobil pair-match / puzzle,Match 3D; Match Tile 3D,bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,Match 3D ile küresel ölçek.
VLMedia,Ankara,Ankara (ODTÜ Teknokent),bilinmiyor,140+ (şirket),bilinmiyor,https://www.vlmedia.com.tr,sosyal uygulama + oyun,Waplog; Joi,evet — TOGED staj geçmişi,hibrit (şirket beyanı),bağımsız,Oyun + sosyal; hibrit çalışma açıkça belirtilmiş.
Lost Panda Games,Ankara,Ankara (ODTÜ Teknokent),bilinmiyor,11 (şirket),bilinmiyor; 20M+ oyuncu iddiası,https://lostpandagames.com,mobil casual / puzzle / hyper,Put the Nuts; Thread Master; Sort'n Merge; Find the Panda,bilinmiyor,bilinmiyor,bağımsız,Hızlı prototipleme kültürü (300+ prototip).
MagicLab,Ankara,Ankara (ODTÜ Teknokent),2013,~63,bilinmiyor; 1.6B+ indirme iddiası,https://maglab.com.tr,hyper-casual → casual,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Yüksek indirme hacimli Ankara stüdyosu.
Kodobur,Ankara,Ankara (ODTÜ Teknokent),bilinmiyor,~11,bilinmiyor,https://www.kodobur.com,PC/konsol indie + yayıncılık,The Last Zone,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,Indie geliştirme ve yayın.
Backpack Games,Ankara,Ankara,bilinmiyor,bilinmiyor,bilinmiyor,https://www.backpack.games,mobil casual / craft,Sushi Craft; Burger Craft; Clean The Sea!,bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,Games from Türkiye katılımcısı.
MildMania,Ankara,Ankara,2013,bilinmiyor,bilinmiyor,https://www.mildmania.com,indie mobil puzzle,Darklings; Rop,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,Kaliteli indie puzzle.
Momend,Ankara,Ankara,bilinmiyor,bilinmiyor,bilinmiyor,https://momend.com,çok oyunculu mecha,Mech Wars,bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,6v6 mecha savaş oyunu.
Funexagon,Ankara,Ankara,bilinmiyor,bilinmiyor,bilinmiyor,https://funexagon.net,oyun,bilinmiyor,bilinmiyor; TOGED üyesi,bilinmiyor,bilinmiyor,TOGED üyesi; ürün detayı sınırlı.
Kuixo,Ankara,Ankara,bilinmiyor,bilinmiyor,bilinmiyor,https://www.kuixo.com,mobil puzzle / match,Triple Star,bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,Games from Türkiye heyeti.
Happy Games,Ankara,Ankara,bilinmiyor,bilinmiyor,bilinmiyor,https://www.happygamecompany.com,oyun,bilinmiyor,bilinmiyor; TOGED üyesi,bilinmiyor,bilinmiyor,TOGED üyesi.
Marker Games,Ankara,Ankara (ODTÜ Teknokent),2020,~9,bilinmiyor,https://marker.gs,oyun,bilinmiyor,bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,Küçük Teknokent stüdyosu.
Dinomore Games,Ankara,Ankara,2025,bilinmiyor,bilinmiyor,https://www.dinomoregames.com,PC/konsol; porting,Ducks In Disguise (demo),bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,Yeni PC/konsol stüdyosu.
Otsimo,Ankara,Ankara,2015,bilinmiyor,bilinmiyor,https://otsimo.com,özel eğitim / oyunlaştırma,Otsimo Special Education,bilinmiyor; TOGED üyesi,bilinmiyor,bağımsız,Edtech; TOGED üyesi olduğu için listede.
Pixofun,Ankara,Ankara (ODTÜ CoZone),2005/2018 (yeniden),küçük (1–10),bilinmiyor,https://pixofun.com,serious games / gamification,Footbo City; QuizGame,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,Serious games / öğrenme.
SciPlay (Ankara varlığı),Ankara,Ankara (Alictus üzerinden),—,Alictus ekibi,Alictus satın alma,https://www.sciplay.com,sosyal / casual (grup),Alictus portföyü,bilinmiyor; TOGED üyesi listesinde,bilinmiyor,SciPlay (ABD halka açık),TOGED'de Ankara üyesi olarak listelenir.
Masomo,İzmir,İzmir (+ Londra),2015/2016,~85–100,Miniclip satın alma 2019,https://masomo.com,sosyal çok oyunculu spor,Head Ball 2; Basketball Arena,bilinmiyor,bilinmiyor,Miniclip / Tencent,İzmir'in en bilinen global exit'i.
Digitoy Games,İzmir,İzmir (Teknopark İzmir / Urla),2011/2012,~12,bilinmiyor; günlük ~200K aktif kullanıcı (eski beyan),https://digitoygames.com,online multiplayer; okey / masa oyunları,Okey Extra; 101 Okey Extra; Poker Extra,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,LinkedIn ~12; Teknopark İzmir; masa oyunları / okey.
MythraTech,İzmir,İzmir,2018,bilinmiyor,bilinmiyor,https://www.mythratech.com,PC simülasyon / strateji / aksiyon,Sailor's Journey; Opie the Defender,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,TOGED üye (MytrhaTech yazımıyla).
Mobge,İzmir,İzmir (Bornova HQ); Eskişehir ofisi,2011/2014,~20,~$360K/yıl LinkedIn tahmini (güven düşük),https://mobge.net,premium mobil; platformer; hyper,Oddmar; Hand Strike,bilinmiyor,hibrit (2021 beyanı),bağımsız,Apple Design Award geçmişi (Oddmar).
Mage Games,İzmir,İzmir (DEPARK),2022,bilinmiyor,Actera liderliğinde $3.5M (2024); Goal Battle 2M+ indirme,https://magegames.com,PvP mobil spor,Goal Battle,bilinmiyor,bilinmiyor,bağımsız (Actera/Ludus),DEPARK çıkışlı; PocketGamer yükselen İzmir stüdyosu.
Ruff Games,İzmir,İzmir (Buca / DEPARK),2019,bilinmiyor,bilinmiyor,https://ruffgamestudio.com,hybrid-casual puzzle,Hidden Case; Factory Jam; Cap Sort,bilinmiyor,bilinmiyor,bağımsız,DEPARK ekosistemi.
Furtle Game,İzmir,İzmir (DEPARK Beta / Buca),2016/2022,~4,TÜBİTAK 1507 destek (2025 haber),https://furtlegame.com,hyper-casual / idle,Pest Office!; Gold Panning!; Bakery Idle!,bilinmiyor,bilinmiyor,bağımsız,DEPARK; İZOTOP Game Jam ortaklığı.
Althera Games,İzmir,İzmir (DEPARK Tınaztepe),bilinmiyor,bilinmiyor,bilinmiyor,https://altheragames.com,Unreal / PC odaklı indie,bilinmiyor,öğrenci/indie destek (blog); resmi staj programı bilinmiyor,bilinmiyor,bağımsız,UE5 rehberleri ve stüdyo kurma içerikleri yayınlar.
Sharky Studios,İzmir,İzmir (Konak / Mistral),bilinmiyor,bilinmiyor,bilinmiyor,https://sharkystudios.com,mobil ve web,10+ oyun,bilinmiyor,bilinmiyor,bağımsız,İzmir merkezli küçük stüdyo.
Pyro Games,İzmir,İzmir (Teknopark İzmir),2021,küçük (2–10),40M+ indirme beyanı (Teknopark İzmir),https://pyrogames.io,mobil shooter/merge; PC/konsol ARPG,K-Sniper Challenge; Merge Battle Tactics; Netherwyn,bilinmiyor,bilinmiyor,bağımsız,Erken mobil hacim + Netherwyn ARPG odaklı.
Toon Metal Games,İzmir,İzmir (Urla / Teknopark İzmir),2021,~11,Boğaziçi Ventures portföyü,https://tm.rocks,casual / hybrid-casual + multiplayer altyapı,beauty salon; hamster escape; sudoku/dekor,kariyer sayfası var,bilinmiyor,bağımsız (BV),Kuruluş İstanbul atıflı; operasyon Urla/Teknopark.
Anisoft Games,İzmir,İzmir (Teknopark İzmir),~2021,bilinmiyor,bilinmiyor,https://anisoftgames.com,mobil,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Teknopark İzmir kayıtlı mobil stüdyo.
Cave Animasyon,İzmir,İzmir (Teknopark İzmir),bilinmiyor,bilinmiyor,bilinmiyor,https://www.cavevfx.com,oyun + animasyon / VR / simülasyon / VFX,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Pixar/DreamWorks kökenli kurucu; oyun-animasyon kesişimi.
Stride Games,İzmir,İzmir (Urla),bilinmiyor,~6 (LinkedIn),bilinmiyor,https://stridegames.co,mobil,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Site under construction; Gamescom 2026 İZKA asil.
Gizmolabz,İzmir,İzmir,bilinmiyor,bilinmiyor,bilinmiyor,,oyun / web oyun,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,İZKA Gamescom 2026 yedek listesi.
Negentra,Eskişehir,Eskişehir,bilinmiyor,bilinmiyor,bilinmiyor,https://www.negentra.com.tr,XR / simülasyon / dijital ikiz / serious games,bilinmiyor,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,TOGED'de Eskişehir üyesi; oyun + simülasyon.
Analiz Games,Eskişehir,Eskişehir,2022,bilinmiyor,bilinmiyor,https://analizgames.com,PC/mobil platform; AI araştırması,Stress Ball (Steam),kariyer sayfası var; açık staj bilinmiyor,bilinmiyor,bağımsız,Anadolu ekosistemi bağımsız stüdyo.
Gorgonize Games,Eskişehir,Eskişehir,2022,bilinmiyor,bilinmiyor,https://gorgonizegames.com,PC / konsol / masa oyunu,Crime Scene (Suç Mahalli),bilinmiyor,bilinmiyor,bağımsız,Şehir birincil kaynakta zayıf; Eskişehir atıflı.
Zahiri Studio,Eskişehir,Eskişehir,2015,~3,bilinmiyor,https://www.linkedin.com/company/zahiri-studio,game art / 2D-3D / UI,hizmet stüdyosu,bilinmiyor,bilinmiyor,bağımsız,Geliştirici değil sanat/hizmet.
Teneke Kafalar Studios,Eskişehir,Eskişehir,bilinmiyor,bilinmiyor,bilinmiyor,https://tenekekafalar.com,PC multiplayer / party / co-op horror,Feign; Feather Party; Throwia,bilinmiyor,bilinmiyor,bağımsız,Şehir atıf seviyesi; portföy zengin.
Mobge Eskişehir ofisi,Eskişehir,Eskişehir (Anadolu Teknopark),2014,Mobge toplamı ~20,bkz. Mobge,https://mobge.net,mobil,Oddmar,bilinmiyor,hibrit,bağımsız,HQ İzmir; Eskişehir'de ofis.
Pundun Games,Diğer şehirler,Bursa,2022/2023,~3,bilinmiyor,https://pundun.co,mobil hyper/hybrid/midcore,Smash Ball Up; Merge and Battle!; Chaos Arena,CV kabul ediyor (cv@pundun.co); resmi staj bilinmiyor,bilinmiyor,bağımsız,Bursa bağımsız stüdyo.
LablaGames,Diğer şehirler,Bursa (Osmangazi),bilinmiyor,11–50 bandı,bilinmiyor,https://www.linkedin.com/company/lablagames,mobil,bilinmiyor,bilinmiyor,bilinmiyor,LablaSoft,LinkedIn temelli; temkinli kayıt.
Keby Games,Diğer şehirler,Bursa (Nilüfer),2017,bilinmiyor,bilinmiyor,https://www.keby.net,mobil multiplayer / casual,Nightcore; VegaOnline; Word Busters; Wonder Boys,bilinmiyor,bilinmiyor,bağımsız (Baypro),Bursa merkezli mobil stüdyo.
Click Game Studio,Diğer şehirler,Bursa (Nilüfer),~2020,bilinmiyor,VOR 4.5M TL + Netmarble Türkiye yatırımı (2021),,hyper-casual mobil,bilinmiyor,bilinmiyor,bilinmiyor,Netmarble Türkiye ilişkili,Bursa hyper-casual; Netmarble stüdyo ağına girmişti.
SPT Studios,Diğer şehirler,Muğla & Bursa,2024,küçük,bilinmiyor,https://sptstudios.com,mobil casual / shooter / puzzle,Glow Tiles; Squad Ops; Boost Raid; Lost Haven,bilinmiyor,bilinmiyor,bağımsız,İki şehirli bağımsız mobil stüdyo.
Happy Crab,Diğer şehirler,Kocaeli (Bilişim Vadisi),2020,bilinmiyor,bilinmiyor,https://happycrab.com.tr,mobil geliştirme/yayın,Zatonya Chasing Asteroid; CDS - Car Drifting Simulator 2023,bilinmiyor,bilinmiyor,bağımsız,AA haberi; Bilişim Vadisi. Resmi sitenin TLS sertifikası 2023'ten beri süresi dolmuş.
Spell Factory,Diğer şehirler,Gebze / Bilişim Vadisi (Kocaeli),~2024/2025,~7 kurucu ekip,bilinmiyor,https://spellfactory.games,platformer; Web3,Clashub; The Infected Soul,careers sayfası var,bilinmiyor,bağımsız,Eskişehir değil; Gebze.
ATTA Games,Diğer şehirler,Antalya (OSB Teknopark / Döşemealtı),2024,~6,bilinmiyor,https://atta.games,puzzle / hybrid-casual,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Antalya OSB Teknopark stüdyosu.
32play,Diğer şehirler,Antalya (Konyaaltı),2022,~2,$2M fon (LinkedIn),https://32play.pro,oyun araçları / kaynaklar,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Antalya + ABD varlığı.
TAMU Games,Diğer şehirler,Antalya,2024,bilinmiyor,bilinmiyor,,PC / konsol indie,King Slayer,bilinmiyor,bilinmiyor,bağımsız,Antalya merkezli PC/konsol stüdyosu (Tracxn).
Pokuch,Diğer şehirler,Trabzon,2019,~10,bilinmiyor,https://pokuch.com,PC survival adventure,Blind Descent,bilinmiyor,bilinmiyor,bağımsız,Trabzon HQ.
Feelcrafters,Diğer şehirler,Gaziantep (Teknopark),~2023,bilinmiyor,bilinmiyor,https://feelcrafters.com,mobil puzzle,bilinmiyor,kademeli işe alım süreci var; staj ayrı bilinmiyor,bilinmiyor,bağımsız,Gaziantep Teknopark stüdyosu.
Rubedo Games,Diğer şehirler,Mersin,2022,~4,bilinmiyor,https://store.steampowered.com/search/?developer=Rubedo%20Games,PC indie,Soulbind: Tales of the Underworld,bilinmiyor,bilinmiyor,bağımsız,Mersin HQ; uluslararası varlık.
Arkhe Games,Diğer şehirler,Mersin (ofis; uzaktan ekip),2021,~34 (şirket beyanı; 3 kıta),50M+ indirme / 140 ülke (şirket),https://arkhegames.com,mobil hyper/hybrid,Human Fortune; Battery Run,bilinmiyor,uzaktan ağırlıklı + Mersin ofis,bağımsız,Mersin merkezli ölçeklenmiş mobil stüdyo.
