Company,Region,City,Founded,Employees,Revenue_funding,Web,Email,Genres,Sample_games,Internship,Remote,Ownership,Notes
BioWare,North America,"Edmonton, AB (Canada)",1995,~400–600 range,unknown (EA),https://www.bioware.com,press@ea.com (press),AAA RPG,Mass Effect Legendary Edition; Dragon Age; SWTOR; Dragon Age: Inquisition; Dragon Age: The Veilguard; Mass Effect 2; Mass Effect; Star Wars: The Old Republic,unknown,office,EA,Narrative RPG tradition inside EA.
BioWare Austin,North America,"Austin, TX (USA)",2006,~100-200,SWTOR,https://www.bioware.com,press@ea.com (press),MMORPG / RPG,Star Wars: The Old Republic; SWTOR expansions; Knights of the Fallen Empire; Onslaught; Anthem support,unknown,office,EA,BioWare MMO studio behind Star Wars: The Old Republic.
Blackbird Interactive,North America,"Vancouver, BC (Canada)",2010,~100+,Homeworld 3,https://blackbirdinteractive.com,press@blackbirdinteractive.com (press),RTS / space,Homeworld 3; Hardspace: Shipbreaker; Homeworld: Deserts of Kharak; Homeworld Remastered support; Deserts of Kharak,unknown,office,independent,Homeworld legacy.
Blind Squirrel Games,North America,"Santa Ana, CA (USA)",2010,~100-200,remaster / co-dev,https://blindsquirrelgames.com,press@blindsquirrelgames.com (press),remaster; port,BioShock remaster; Elder Scrolls Online contribution; ports; ports/co-dev; various remasters,unknown,office,independent,Remaster/co-dev.
Blizzard Albany,North America,"Albany, NY (USA)",—,Vicarious / Blizzard internal,Diablo support,https://www.blizzard.com,press@blizzard.com (press),AAA support,Diablo IV support; Vicarious Visions legacy; Diablo IV destek,unknown,office,Microsoft / Blizzard,Post-merger of Vicarious Visions and Blizzard.
Blizzard Entertainment,North America,"Irvine, CA (USA)",1991,~4000 band (historical; changes after AD),WoW + Overwatch + Diablo live service,https://blizzard.com,press@blizzard.com (press),MMORPG / hero shooter / ARPG,WoW; Overwatch 2; Diablo IV; StarCraft II; World of Warcraft; Hearthstone; Warcraft III Reforged; Heroes of the Storm,yes — internship history,office-heavy (Irvine),Microsoft / Activision Blizzard,"PC culture flagship: WoW, Diablo, Overwatch, StarCraft."
Bluepoint Games,North America,"Austin, TX (USA)",2006,~150–200,unknown (SIE),https://bluepointgames.com,press@playstation.com (press),remake / AAA,Demon's Souls remake; Shadow of the Colossus remake; Uncharted: The Nathan Drake Collection; Gravity Rush Remastered; Uncharted: Legacy of Thieves contribution,unknown,office,Sony / PlayStation Studios,High fidelity remake specialist.
Bonfire Studios,North America,"Orange County, CA (USA)",2018,~50-100,MMO / live,https://www.bonfirestudios.com,press@tencentgames.com (press),MMO,unannounced live-service project; studio founding slate; Blizzard alumni projects; unannounced; Activision/Blizzard alumni studio,unknown,office,special (Tencent),Former Blizzard talent.
Boss Fight Entertainment,North America,"McKinney, TX (USA)",2013,~50-100,Dungeon Defenders,https://www.bossfightentertainment.com,info@bossfightentertainment.com (general),action / TD,Empires & Puzzles collab; Boss Fight midcore; Dungeon Defenders series; Dungeon Defenders serisi,unknown,office,independent,Texas studio.
Bungie,North America,"Bellevue, WA (USA)",1991,~900–1100 range,Destiny live service,https://www.bungie.net,press@bungie.com (press),looter-shooter / live service,Destiny 2; Destiny; Marathon (upcoming); Halo CE (historical); Halo 2; Halo 3; (historical) Halo; (tarihsel) Halo,yes — internship history,hybrid possibility,Sony (2022),Destiny live-service under Sony; Halo legacy roots.
Camouflaj,North America,"Bellevue, WA (USA)",2009,~30-60,République; Iron Man VR,https://camouflaj.com,unknown,stealth / VR,République; Iron Man VR; Silent Hill: Ascension contribution; République Remastered; Dead Man's Rope,unknown,office,independent,VR + mobile stealth.
Campo Santo,North America,"San Francisco, CA (USA)",2013,Valve internal,Firewatch,https://www.camposanto.com,press@valvesoftware.com (press),narrative,Firewatch; In the Valley of Gods (unreleased); Valve support work; narrative adventure catalog; Valve absorption era,unknown,office,Valve,2018 Valve acquisition.
Candywriter,North America,"Miami, FL (USA)",2014,~50-100,idle mobile,https://candywriter.com,unknown,mobile idle,Fun Run; Word Search; various idle RPG,unknown,hybrid,independent,Idle mobile.
Capybara Games,North America,"Toronto, ON (Canada)",2003,~30-50,Below; Super Time Force,https://www.capybaragames.com,info@capybaragames.com (general); support@capybaragames.com (support),indie action,Below; Super Time Force Ultra; Critter Crunch; Super Time Force,unknown,office,independent,Toronto long-term indie.
Certain Affinity,North America,"Austin, TX (USA)",2006,~200+,unknown,https://certainaffinity.com,press@certainaffinity.com (press),AAA FPS / support,Halo multiplayer maps; Age of Darkness; COD support; Halo support,unknown,office,independent,Austin AAA support/co-development.
Cliffhanger Games,North America,"Seattle, WA (USA)",2021,~50-100,Xbox first party,https://www.xbox.com,press@xbox.com (press),AAA,Perfect Dark related Xbox slate; unannounced Xbox project; Seattle first-party work; unannounced project,unknown,office,Microsoft,Xbox Seattle studio.
Cloud Chamber,North America,"Novato, CA (USA)",2019,~100-200,BioShock remake,https://cloudchamberstudio.com,press@ubisoft.com (press),AAA FPS / immersive sim,BioShock 4 (development); Tom Clancy / Ubisoft contribution; Tom Clancy / Ubisoft projects,unknown,office,Take-Two / 2K,BioShock next-gen studio.
Cloud Imperium Games,North America,Los Angeles / Frankfurt / Manchester,2012,~800+,Star Citizen crowdfunding records,https://robertsspaceindustries.com,press@cloudimperiumgames.com (press),MMO space sim,Star Citizen; Squadron 42; Persistent Universe; Arena Commander; Persistent Universe updates,unknown,multi-office,private (Chris Roberts),Star Citizen crowdfunding MMO; Squadron 42 single-player.
Codemasters,Europe,Southam (UK; EA),1986,~700+,racing sim,https://www.codemasters.com,press@ea.com (press),racing sim,EA Sports F1; GRID; DiRT Rally; Dirt,unknown,office,EA,2021 EA acquisition; F1 license.
Compulsion Games,North America,"Montréal, QC (Canada)",2009,~100–150,unknown (Microsoft),https://compulsiongames.com,press@xbox.com (press),action-adventure,We Happy Few; South of Midnight; Contrast; We Happy Few: Lightbearer,unknown,office,Microsoft,Montreal Xbox studio.
ConcernedApe,North America,Seattle area (USA),2012 (commercial),1–10,Stardew Valley long queue,https://www.stardewvalley.net,concernedape@gmail.com (general),farm sim / indie,Stardew Valley; Haunted Chocolatier (announced); Stardew Valley 1.6 update; Stardew multiplayer era; Haunted Chocolatier (upcoming); 1.6 update; Stardew 1.6 update,no,solo / small,independent,Stardew Valley solo-dev phenomenon; Haunted Chocolatier next.
Criterion Games,Latin America,Guildford (UK; EA),1993,~150–200,Need for Speed,https://www.criteriongames.com,press@ea.com (press),arcade racing,Need for Speed Hot Pursuit; Burnout Paradise; NFS Most Wanted; Need for Speed; Burnout (historical); Burnout (tarihsel),unknown,office,EA,Frostbite racing.
Cryptic Studios,North America,"Los Gatos, CA (USA)",2000,~150-250,Star Trek Online; Neverwinter,https://www.crypticstudios.com,press@crypticstudios.com (press),MMORPG,Star Trek Online; Neverwinter; Champions Online; Star Trek Online expansions,unknown,office,Embracer / Perfect World history; not Dark and Light — EG7/Daybreak periodic,MMO studio; ownership changes.
Crystal Dynamics,North America,"San Mateo, CA (USA)",1992,~300+,Tomb Raider,https://crystald.com,press@square-enix.com (press),AAA action-adventure,Tomb Raider; Marvel's Avengers; Legacy of Kain (legacy); Legacy of Kain (historical); Legacy of Kain (tarihsel),unknown,office,Embracer,Lara Croft / Tomb Raider primary studio (Embracer/Crystal).
Daybreak Game Company,North America,"San Diego, CA (USA)",1997 (SOE legacy),~400+,live MMO,https://www.daybreakgames.com,press@daybreakgames.com (press),MMORPG / live service,PlanetSide 2; EverQuest; EverQuest II; The Outer Worlds 2 (joint period),unknown,office,Enad Global 7,Classic MMO operator.
Deck Nine Games,North America,"Westminster, CO (USA)",2012,~100-150,Life is Strange sequel,https://www.deckninegames.com,contact@deckninegames.com (general),narrative adventure,Life is Strange: True Colors; Life is Strange: Double Exposure; Before the Storm; The Awesome Adventures of Captain Spirit; Double Exposure,unknown,office,private,Studio carrying the LIS baton.
DICE,Europe,Stockholm (Sweden; EA),1992,~700 range,Battlefield franchise,https://www.dice.se,press@ea.com (press),AAA FPS,Battlefield 2042; Battlefield V; Battlefield 1; Star Wars Battlefront II; Battlefield; (historical) Mirror's Edge; (tarihsel) Mirror's Edge,unknown,office,EA,Battlefield franchise home; Frostbite heritage.
DICE Los Angeles,North America,"Los Angeles, CA (USA)",2013 (Danger Close legacy),~150-250,Battlefield support,https://www.dice.se,press@ea.com (press),AAA FPS,Battlefield support; Battlefield (joint); Battlefield (ortak),unknown,office,EA,DICE LA; history related to Ripple Effect.
Digital Extremes,North America,"London, ON (Canada)",1993,~400+,Warframe live service,https://www.digitalextremes.com,press@digitalextremes.com (press),looter-shooter / F2P,Warframe; Soulframe (upcoming); The Darkness II; Soulframe (development),yes — internship history,office / hybrid,Tencent minority / private,Warframe free-to-play live-service longevity model.
Dodgeroll,North America,Vancouver / remote,2011,small,Enter the Gungeon,https://dodgeroll.com,unknown,roguelike,Enter the Gungeon; Exit the Gungeon; Enter the Gungeon: House of the Gundead; Dodge Roll catalog; Enter the Gungeon House of the Gundead,unknown,remote,independent,Roguelike shooter.
Double Fine,North America,"San Francisco, CA (USA)",2000,~100–150,unknown (Microsoft),https://doublefine.com,press@xbox.com (press),indie-AAA adventure,Psychonauts 2; Psychonauts; Broken Age; Grim Fandango Remastered,unknown,office,Microsoft,Tim Schafer; Kickstarter era icon.
Double Helix Games,North America,"Irvine, CA (USA)",2007,Sold to Amazon (2014),Killer Instinct,,unknown,action,Killer Instinct (2013); UFOs; Hunted: The Demon's Forge; Silent Hill: Book of Memories,-,-,Amazon,Historical; Amazon Games roots.
DoubleDown Interactive,North America,"Seattle, WA (USA)",2010,~200-400,social casino,https://www.doubledowninteractive.com,press@doubledowninteractive.com (press),social casino,DoubleDown Casino; DoubleDown Fort Knox; Ungrounded; social casino portfolio; social casino,unknown,office,DoubleU Games / associated with Korea,Social casino.
Dreamhaven,North America,"Irvine, CA (USA)",2020,~100+,Mike Morhaime studio group,https://www.dreamhaven.com,pr@dreamhaven.com (press),holding / MMO,Dreamhaven publishing; Hi-Fi / Blizzard alumni network; Secret Door; Dreamhaven publishing slate; Hi-Fi Rush alumni network; Hidden Village studios,unknown,office,private,Former Blizzard president's initiatives.
DrinkBox Studios,North America,"Toronto, ON (Canada)",2008,~30-50,Guacamelee,https://drinkboxstudios.com,press@drinkboxstudios.com (press),metroidvania,Guacamelee!; Guacamelee! 2; Nobody Saves the World; Severed,unknown,office,independent,Toronto indie action.
EA Montreal,North America,"Montréal, QC (Canada)",2004,~500+,Dead Space; Army of Two historical; Motive relationship,https://www.ea.com,press@ea.com (press),AAA / support,FPS support; Dead Space 2 contribution; various EA Montréal projects; Motive separate,unknown,office,EA,EA Montréal campus for AAA and live-service projects.
EA Motive,North America,"Montréal, QC (Canada)",2015,~300–400,unknown (EA),https://www.ea.com/ea-studios/motive,press@ea.com (press),AAA action,Dead Space remake; Star Wars: Squadrons; Star Wars: Eclipse (in development),unknown,office,EA,EA Montréal narrative studio (Star Wars Jedi series).
EA Tiburon,North America,"Orlando, FL (USA)",1994,~500+,Madden NFL,https://www.ea.com,press@ea.com (press),sport,Madden NFL; College Football 25; College Football,unknown,office,EA,EA Orlando studio famous for Madden NFL.
EA Vancouver,North America,"Burnaby, BC (Canada)",1982,~2000+,NHL; UFC; FC contribution,https://www.ea.com,press@ea.com (press),sport,EA Sports FC; NHL; Skate (revival); UFC; EA FC contribution; EA FC katki,yes - internship,office,EA,"Large EA Canada campus (NHL, FIFA/FC support heritage)."
Eidos-Montréal,North America,"Montréal, QC (Canada)",2007,~400–500,unknown (Embracer / Crystal),https://www.eidosmontreal.com,press@square-enix.com (press),AAA action-RPG,Marvel's Guardians of the Galaxy; Deus Ex: Mankind Divided; Shadow of the Tomb Raider; Deus Ex; Marvel's Guardians; Thief (historical); Thief (tarihsel),unknown,office,Embracer / Crystal Dynamics network,Deus Ex legacy; ownership during Embracer era.
Electronic Arts (EA),North America,"Redwood City, CA (USA)",1982,~13000,annual ~$7B range (company reports),https://www.ea.com,accessibility@ea.com (general),AAA publishing; sports; live service,EA FC; Madden; Apex; The Sims; Battlefield; EA Sports FC; Madden NFL; Apex Legends,yes — EA internship programs,hybrid (depending on team),public (EA),"Sports + live-service publisher with DICE, Respawn, BioWare and Codemasters."
Ensemble Studios (tarihsel),North America,"Dallas, TX (USA)",1995-2009,closed,Age of Empires,https://www.microsoft.com,unknown,RTS,Age of Empires (legacy); Halo Wars (legacy); Age of Empires; Age of Mythology; Halo Wars,-,-,closed (Microsoft),Historical RTS legend; World's Edge continuation.
Epic Games,North America,"Cary, NC (USA)",1991,~4000+,Fortnite + Unreal; billions $,https://www.epicgames.com,press@epicgames.com (press),live service; engine; store,Fortnite; Unreal Engine; Rocket League; Fall Guys; Unreal Engine 5; Epic Games Store; Twinmotion,yes — internship / early career,hybrid / office,private (Tencent minority),UE5 + Epic Games Store + Fortnite ecosystem.
Escalation Studios,North America,"Dallas, TX (USA)",2007,BGS transformed into Dallas,Doom VFR,,unknown,VR / support,Doom VFR; Singularity; Call of Duty companion/VR work; Arkham VR contribution,-,-,Microsoft / ZeniMax,Historical; BGS Dallas.
Firaxis Games,North America,"Hunt Valley, MD (USA)",1996,~200 range,Civilization franchise,https://firaxis.com,press@2k.com (press),4X strategy,Civilization VI; Civilization VII; XCOM 2; Marvel's Midnight Suns; Civilization; XCOM (historical); XCOM (tarihsel),unknown,office,Take-Two / 2K,Civilization and XCOM specialist under 2K.
Firesprite,Europe,Liverpool (UK; SIE),2012,~250+,unknown (SIE),https://firesprite.com,press@playstation.com (press),VR / action,Horizon Call of the Mountain; Knowledge is Power; support for The Dark Pictures,unknown,office,Sony / PlayStation Studios,2021 Sony acquisition.
Frima Studio,North America,"Québec City, QC (Canada)",2003,~100-200,service / VR,https://www.frimastudio.com,unknown,service,Journey to the Savage Planet co-dev; various AAA co-dev; animation/services titles; Quebec co-dev slate; various co-dev,unknown,office,independent,Québec services.
Gearbox Software,North America,"Frisco, TX (USA)",1999,~500+ (group periodic),Borderlands; Embracer era,https://www.gearboxsoftware.com,press@gearboxsoftware.com (press),looter-shooter / publishing,Borderlands 3; Tiny Tina's Wonderlands; Homeworld 3; Brothers in Arms; Borderlands,unknown,office,Take-Two (2024 acquisition news) / Embracer history,Borderlands IP; ownership transitions should be monitored.
Ghost Story Games,North America,"Westwood, MA (USA)",2017,small/medium,unknown,https://ghoststorygames.com,unknown,immersive sim,Judas (in development); BioShock Infinite alumni project; narrative shooter slate; Judas (development); BioShock Infinite alumni; BioShock Infinite alumni team,unknown,office,independent,Post Ken Levine (BioShock).
Giant Squid,North America,"Santa Monica, CA (USA)",2013,~20-40,Abzu; The Pathless,https://giantsquidstudios.com,contact@giantsquidstudios.com (general); jobs@giantsquidstudios.com (HR),indie exploration,ABZU; The Pathless; Sword of the Sea,unknown,office,independent,Matt Nava; Journey art director legacy.
Glu Mobile / Electronic Arts (Glu),North America,"San Francisco, CA (USA)",2001,Inside EA,Design Home / Covet,https://www.glu.com,press@ea.com (press),mobile lifestyle / licensing,Disney Emoji Blitz; Covet Fashion; Disney Sorcerer's Arena; MLB Tap,unknown,mixed,EA (2021 acquisition),"EA mobile expansion via Glu acquisition (design.home, etc.)."
Google Stadia Games and Entertainment,North America,Montréal / California,2019,closed (2023),Stadia,,unknown,cloud gaming,Stadia first-party (wound down); Stadia first-party projects; Stadia ilk parti projeleri,-,-,closed (Google),Historical Google Stadia studios.
Guerrilla Games,Europe,Amsterdam (Netherlands; SIE),2000,~400+,Horizon franchise,https://www.guerrilla-games.com,press@guerrilla-games.com (press),AAA open world,Horizon Forbidden West; Horizon Zero Dawn; Killzone Shadow Fall; Horizon Zero Dawn / Forbidden West,unknown,office,Sony / PlayStation Studios,Horizon open-world action; Killzone legacy in Amsterdam.
Halo Studios (ex-343 Industries),North America,"Redmond, WA (USA)",2007 (343); 2024 rebrand,~500 range,unknown (Microsoft),https://halowaypoint.com,press@xbox.com (press),AAA FPS / live service,Halo Infinite; Halo MCC; Halo 5; Halo Wars 2; Halo Wars (joint); Halo Wars (ortak),unknown,office,Microsoft,Xbox first party; Slipspace Engine era.
Hangar 13,North America,"Novato, CA (USA) + Brno / Brighton",2014,~200–300,unknown (2K),https://hangar13games.com,press@2k.com (press),AAA action,Mafia Definitive Edition; Mafia III; Mafia: The Old Country; Mafia: Definitive Edition; Mafia remakes / Mafia III,unknown,multi-office,Take-Two / 2K,Mafia narrative crime series under 2K.
Hardsuit Labs,North America,"Seattle, WA (USA)",2012,~50–100,unknown,https://hardsuitlabs.com,unknown,FPS / service,Vampire: The Masquerade – Bloodlines 2 (period); Deadfall Adventures; compact co-dev; Unannounced IP work; Vampire: The Masquerade – Bloodlines 2 (periodic),unknown,office,independent,Seattle; project turnover is seasonal.
Harebrained Schemes,North America,"Seattle, WA (USA)",2011,~30-60,Shadowrun Returns; Battletech,https://harebrained-schemes.com,pr@paradoxinteractive.com (press),strategy / RPG,Shadowrun Returns; Battletech; The Lamplighters League,unknown,office,Paradox (acquisition),Seattle strategy/RPG.
Haven Studios,North America,"Montréal, QC (Canada)",2021,~100-150,Fairgame$ / PS studio,https://havenstudios.com,press@playstation.com (press),multiplayer / live,Fairgame$; Sony live-service sports-adjacent; Fairgame$ (development),unknown,office,Sony / PlayStation Studios,2022 Sony acquisition; Montréal.
HB Studios,North America,"Lunenburg, NS (Canada)",2000,~100-150,PGA Tour; sports,https://www.hbstudios.com,press@2k.com (press),sport,PGA Tour 2K; The Golf Club; EA Sports PGA support; PGA Tour; various sports,unknown,office,independent (2K relationships periodic),Canada sports studio.
Heart Machine,North America,"Los Angeles, CA (USA)",2012,~20-40,Hyper Light Drifter,https://heartmachine.com,hello@heart-machine.com (general); support@heart-machine.com (support),indie action,Hyper Light Drifter; Solar Ash; Hyper Light Breaker; Heart Machine catalog,unknown,hybrid,independent,Pixel art action.
Hi-Rez Studios,North America,"Alpharetta, GA (USA)",2005,~400+,Smite; Fallen Earth historical,https://www.hirezstudios.com,press@hirezstudios.com (press),MOBA / hero shooter,Smite; Paladins; Rogue Company; Smite 2,unknown,office,private,Georgia (USA) multiplayer.
High Moon Studios,North America,"Carlsbad, CA (USA)",2005,~200+,unknown (Activision),https://highmoonstudios.com,press@activision.com (press),AAA action,Transformers: Fall of Cybertron; COD support; Transformers; Destiny support,unknown,office,Microsoft / Activision,Activision support/first-party studio.
High Voltage Software,North America,"Hoffman Estates, IL (USA)",1993,~100-200 (periodic),co-dev / port / IP,https://www.high-voltage.com,press@embracer.com (press),co-dev; port,Hunter: The Reckoning; LEGO support; ports; ports and co-dev; various co-dev; Hunter: The Reckoning historical; Hunter: The Reckoning tarihsel,unknown,office,Embracer / Lost Boys relationship,Chicago long-term co-dev.
Hopoo Games,North America,USA (remote),2012,small,Risk of Rain,https://hopoogames.com,press@hopoogames.com (press),roguelike action,Risk of Rain 2; Risk of Rain Returns; Risk of Rain,unknown,remote,independent,Roguelike shooter.
Hothead Games,North America,"Vancouver, BC (Canada)",2006,~50-100,mobile action,https://www.hotheadgames.com,contact@hotheadgames.com (general),mobile,Kill Shot Bravo; Rambo; Overwatch: Heroes Assemble; Rodeo Stampede partnership titles; Soft Reset,unknown,office,independent,Vancouver mobile.
Housemarque,Europe,Helsinki (Finland; SIE),1995,~150–200,unknown (SIE),https://housemarque.com,press@housemarque.com (press),AAA action/arcade,Returnal; Resogun; Nex Machina; (historical) Resogun; (tarihsel) Resogun,unknown,office,Sony / PlayStation Studios,"Finland PlayStation studio (Returnal, Resogun)."
Human Head Studios (tarihsel),North America,"Madison, WI (USA)",1997-2019,closed,Prey (2006); Rune,https://humanhead.com,unknown,FPS / action,Prey (2006); Rune; The Quiet Man; Batman: Arkham Origins Blackgate; Rune Classic,-,-,closed,Historical Madison studio.
id Software,North America,"Richardson, TX (USA)",1991,~200 range,unknown (ZeniMax),https://www.idsoftware.com,press@bethesda.net (press),AAA FPS,Doom Eternal; Doom (2016); Doom The Dark Ages; Quake Champions; Rage 2; Doom; Quake; Rage,unknown,office,Microsoft / ZeniMax,Doom/Quake lineage; FPS foundational studio under Bethesda.
Industrial Toys,North America,"Pasadena, CA (USA)",2012,in EA,Star Wars: Hunters,https://www.industrialtoys.com,press@ea.com (press),mobile / multiplayer,Star Wars: Hunters; Midnight Star; EA mobile FPS slate; live-service shooters; Twilight Struggle mobile (hist.); EA mobile,unknown,office,EA,EA mobile/multiplayer.
Infinity Ward,North America,"Woodland Hills, CA (USA)",2002,~400+,Modern Warfare,https://www.infinityward.com,press@activision.com (press),AAA FPS,Call of Duty: Modern Warfare; MWII; MWIII; Ghosts,unknown,office,Microsoft / Activision,Modern Warfare pillar of Call of Duty.
Innersloth,North America,"Redmond, WA (USA)",2015,~30-50,Among Us,https://www.innersloth.com,press@innersloth.com (press),social deduction / mobile-PC,Among Us; Henry Stickmin Collection; Among Us VR; Henry Stickmin; The Henry Stickmin Collection,unknown,hybrid,independent,Among Us social deduction breakout; lean indie org.
