Company,Region,City,Founded,Employees,Revenue_funding,Web,Email,Genres,Sample_games,Internship,Remote,Ownership,Notes
Fugo Games,Istanbul,Istanbul,2010,~58,unknown; claim of 230M+ downloads,https://fugo.com,info@fugo.com.tr (general); jobs@fugo.com.tr (HR); wow@fugo.com.tr (support); privacy@fugo.com.tr (privacy),mobile word / puzzle,Words of Wonders; Words of Wonders: Search; Words of Wonders: Crossword; Words of Wonders: Blitz; Words of Wonders: Guru; Words of Wonders: Zen; Word Master; Solitaire Sunday,unknown,unknown,independent,Long-running publisher-developer; Words of Wonders word/puzzle evergreen series. Word/puzzle evergreen via Words of Wonders series.
Vertigo Games,Istanbul,Istanbul (Beşiktaş),2013,~63,unknown,https://vertigogames.co,info@vertigogames.co (general); jobs@vertigogames.co (HR); support@vertigogames.co (support),mid-core; real-time social FPS,Critical Strike; Critical Strike Portable; Critical Force,unknown; TOGED member,unknown,independent,Competitive social mobile FPS.
Grand Games,Istanbul,Istanbul,2024,~14–40+,$103M total investment (2025 news),https://grand.gs,info@grand.gs (general),hybrid-casual / puzzle,Magic Sort; Car Match; Goods Sort; Tile Match,unknown; TOGED member,unknown,independent,Parallel teams with cell model. Sort-puzzle line via Magic Sort / Goods Sort.
Agave Games,Istanbul,Istanbul,2021,unknown,$18M Series A (2024),https://agavegames.com,contact@agavegames.com (general),casual / puzzle / find,Find The Cat; What The Hex; Hexa Sort,unknown,unknown,independent,Next-gen scaling rapidly with Find the Cat.
Cypher Games,Istanbul,Istanbul,2022,unknown,$30M Series A (2025) + $10M seed,https://cyphergames.com,privacy@cyphergames.com (privacy),casual puzzle / chance / social,Match Squad,unknown,unknown,independent,Match-3 + dice hybrid via Match Squad.
Loom Games,Istanbul,Istanbul,2025,unknown,Scopely majority; $1B+ valuation news,https://loom.games,unknown,hybrid-casual puzzle,Pixel Flow!; Water Sort,unknown,unknown,Scopely majority,Extraordinarily fast exit/scale after Pixel Flow. Rapid scale/exit story after Pixel Flow.
TaleMonster Games,Istanbul,Istanbul,2024,~32,$30M+ Series A range (2026 news),https://talemonster.games,contact@talemonster.games (general); support@talemonster.games (support),casual puzzle / tower-defense elements,Match Valley; Merge Grove,unknown,unknown,independent,Former Peak developers.
Circle Games,Istanbul,Istanbul,unknown,~24,$14.6M total funding (LinkedIn),https://circle.gs,contact@circle.gs (general),3D organized / match puzzle,unknown,unknown,unknown,independent,Former Good Job / Gram origin founder profile (industry news).
Pine Games,Istanbul,Istanbul,2024,~21,$2.25M seed,https://pinegames.com,info@pinegames.com (general); careers@pinegames.com (HR),mobile merge / adventure,Viking Island: Merge Adventure; Word Weaver; Number Paint; Merge Island,unknown,unknown,independent,Ad-monetised visually appealing casual.
FOMO Games,Istanbul,Istanbul (Şişli),2019,unknown,$5M investment (2022 news),https://fomo.gs,hello@fomo.gs (general),mobile casual / hyper,Traffic Escape!; Color Blocks 3D; Seat Jam 3D; Bus Escape,unknown,office (ads listed in Istanbul),independent,Hyper-casual origin.
Revel Games,Istanbul,Istanbul,2022,unknown,Garena / Sandbox investment (amount unknown),https://revel.gs,info@revel.gs (general),casual / merge,Merge Now; Idle Merge,unknown,unknown,independent,Casual puzzle focused.
Mavis Games,Istanbul,Istanbul (Koşuyolu),2018,~10,$2M seed (Habby),https://mavisgames.com,unknown,mobile casual / puzzle,Slidey: Block Puzzle; Block Puzzle Guardian,unknown; TOGED member,unknown,independent,Habby supported retention-focused casual.
Tiramisu Studios,Istanbul,Istanbul (Kağıthane),2015,~14,unknown; claim of 100M+ downloads,https://tiramisu.game,info@tiramisu.game (general),mobile racing / drift,Drift Max Pro; Drift Max Pro; Drift Max World; Drift Max Japanese Drift,yes — TOGED internship history,unknown,independent,Drift Max series.
Mayadem,Istanbul,Istanbul (Üsküdar),2015,10–50 range,unknown,https://mayadem.com,iletisim@mayadem.com (general),children / edutainment,TRT Kids games; Rafadan Tayfa games; Kukuli games,yes — TOGED internship history,unknown,independent,Child and education-focused games. TRT Kids licensed children's games.
Narcade,Istanbul,Istanbul,2011,10–50 range,unknown,https://narcade.com,unknown,mobile casual / bubble-shooter,Farm Blast; Zen Master; Bubble Friends; Merge Farm,unknown; TOGED member,unknown,independent,Long-standing mobile publisher-developer.
Noho Games,Istanbul,Istanbul (Zeytinburnu),2018,unknown,unknown,https://noho.games,hello@noho.games (general),mobile,unknown,unknown; TOGED member,unknown,independent,TOGED member small/medium studio.
Yamy Studio,Istanbul,Istanbul (Şişli),2020,~20–25,~$300K funding (LinkedIn),https://yamystudio.com,info@yamystudio.com (general),mobile casual,unknown,yes — internship announcement published (Game Developer Intern),unknown,independent,TOGED member with active internship listing history.
Zinky Games,Istanbul,Istanbul (Kartal),2021,unknown,unknown,https://zinkygames.com,unknown,mobile puzzle / strategy,unknown,unknown; TOGED member,unknown,independent,Small mobile studio.
Noya Games,Istanbul,Istanbul,unknown,unknown,unknown,https://noyaenterprise.com,unknown,game,unknown,unknown; TOGED member,unknown,independent,TOGED member.
Valvolex,Istanbul,Istanbul,unknown,unknown,unknown,https://valvolex.com,sbkgamesco@gmail.com (general),game,unknown,unknown; TOGED member,unknown,independent,TOGED member.
Yolo Game Studios,Istanbul,Istanbul,~2022,unknown,unknown,https://yologamestudios.com,contact@yologamestudio.com (general),hidden-object / puzzle,Find Differences; Find Hidden Objects; Find Master; Spot the Difference,unknown,unknown,independent,On PocketGamer's 'up and coming' list.
Hyperlab,Istanbul,Istanbul,unknown,unknown,unknown,https://www.hyperlab.games,hello@hyperlab.games (general),hybrid-casual,unknown,unknown (remote internship posting history in the industry),office + remote possibility,independent,Hybrid-casual mobile studio.
Core Studios,Istanbul,Istanbul (Üsküdar),unknown,unknown,unknown,https://core-attacks.com,attack@core-attacks.com (general),hybrid-casual,Outlets Rush; Suzy's Restaurant; Idle Outlets,unknown,office (Üsküdar),independent,Hybrid-casual production.
SuperGears Games,Istanbul,Istanbul,2022,unknown,$2.1M seed (2025),https://supergearsgames.com,unknown,mobile racing,Racing Kingdom; Car Race,unknown,unknown,independent,Racing universe.
Midas Games,Istanbul,Istanbul,unknown,~22,$1M (Ludus 2024),https://midas.games,unknown,skill-based / casual,unknown,unknown,unknown,independent,Team originating from Gigantic.
Vento Games,Istanbul,Istanbul,unknown,unknown,$4M seed (2026 news),https://ventogames.com,info@ventogames.com (general),word / puzzle,Blossom Word Search; Word Search Adventure; Flower Word Search,unknown,unknown,independent,Family-friendly puzzle. Word-search / word casual portfolio.
Bold Games,Istanbul,Istanbul,2025,~10,$6M pre-seed (2026),https://boldgames.com,unknown,casual / sort-puzzle,Market Match!; Supermarket Match,unknown,unknown,independent,Dream/Bigger/Rollic alumni founders.
Joker Games,Istanbul,Istanbul (remote),2017,~17,unknown,https://joker.games,support@joker.games (support); support@jokergame.net (support),mobile casual,unknown,unknown,fully remote (company statement),independent,"Istanbul-based, fully remote studio."
Wixot,Istanbul,Istanbul,2013,~18,unknown,https://wixot.com,support@wixot.com (support),mobile casual,unknown,unknown,distributed team possibility,independent,Internationally distributed team.
Nowhere Studios,Istanbul,Istanbul,unknown,unknown,Monochroma Kickstarter $80K+,https://www.nowherestudios.com,unknown,PC indie puzzle-platform,Monochroma; Monochroma 2,unknown,unknown,independent,Silent narrative indie classic.
BitRaiders Games,Istanbul,Istanbul,2025,unknown,unknown,https://www.bitraiders.games,info@bitraiders.games (general),simulation / strategy,Summer Delicious Simulator; Hexa Castle; Cooking Simulator Idle,unknown,unknown,independent,New multi-platform studio.
Rokito Games,Istanbul,Istanbul (Ataşehir),2025,unknown,unknown,https://rokitogames.com,info@rokitogames.com (general),PC/mobile simulation / arcade,unknown,unknown,unknown,independent,Steam publisher independent studio.
Funverse Games,Istanbul,Istanbul (Kağıthane),unknown,unknown,unknown,https://www.funversegames.com,unknown,MOBA / battle royale mobile,Hit and Boom,unknown,unknown,independent,Games from Türkiye delegation participant.
Apps,Ankara,Ankara,unknown,unknown,unknown,https://apps.com.tr,info@apps.com.tr (general),game / software,unknown,unknown; TOGED member,unknown,independent,TOGED member list includes Ankara.
TaleWorlds Entertainment,Ankara,Ankara (METU Technopolis),2005,170+ (Mobidictum 2025),Bannerlord millions of copies; revenue estimates in the $16–30M range (3rd party),https://www.taleworlds.com,info@taleworlds.com (general); jobs@taleworlds.com (HR); support@taleworlds.com (support),PC/console sandbox action-RPG / strategy,Mount & Blade; Mount & Blade: Warband; Mount & Blade II: Bannerlord; Mount & Blade: With Fire & Sword; Napoleonic Wars; Viking Conquest,yes — TOGED internship history; software internship open position history,office-based (Teknokent); limited international remote contribution,independent,Turkey's flagship PC studio; Bannerlord on PC/console.
UDO,Ankara,Ankara,2013,100+ (Mobidictum 2025; rebrand),WePlay/Lima investment ~$4.2M valuation (2023); TaleWorlds strategic,https://udogames.com,info@udogames.com (general); support@udogames.com (support),hybrid-casual; publishing; tools (Hammer Hub),Basketball Master; Mafia Life; Goons.io; Basketball Arena Idle,yes — TOGED internship history,unknown,private (TaleWorlds investor),UDO rebrand in 2025; publishing + tools.
Alictus,Ankara,Ankara (METU Technopolis),2013,25–100 range,SciPlay $100M upfront + contingent (2022),https://alictus.com,info@alictus.com (general),hyper-casual mobile,Candy Challenge 3D; Rob Master 3D; Deep Clean Inc.; Going Balls; Count Masters; Collect Em All!; Money Collector,yes — TOGED internship history,unknown,SciPlay subsidiary,A major example of a hyper-casual exit from Ankara. Part of SciPlay/Light & Wonder; Going Balls global hit.
Panteon,Ankara,Ankara (METU Technopolis),2012,~90–100,~$10M total funding (3rd party); Teknasyon relationship,https://www.panteon.games,info@panteon.games (general),mobile tower-defense / casual / sim,Raid Rush; Airport Master; Arcane Arena; Hotel Frenzy,yes — TOGED internship history,unknown,Teknasyon related (3rd party),One of the large mobile studios in Ankara. Ankara-rooted; Raid Rush / Airport Master hyper-casual hybrid.
Loop Games,Ankara,Ankara (Çankaya),2019,~42,Claim of $60M total funding; high IAP revenue reported,https://loopgames.net,support@loopgames.net (support),mobile pair-match / puzzle,Match 3D; Match Tile 3D; Find Difference,unknown; TOGED member,unknown,independent,Global scale with Match 3D.
VLMedia,Ankara,Ankara (METU Technopolis),unknown,140+ (company),unknown,https://www.vlmedia.com.tr,info@vlmedia.com.tr (general),social app + game,Waplog; Joi,yes — TOGED internship history,hybrid (company statement),independent,Game + social; hybrid work clearly stated.
Lost Panda Games,Ankara,Ankara (METU Technopolis),unknown,11 (companies),unknown; claim of 20M+ players,https://lostpandagames.com,info@lostpandagames.com (general),mobile casual / puzzle / hyper,Put the Nuts; Thread Master; Sort'n Merge; Find the Panda; Nut Sort,unknown,unknown,independent,Rapid prototyping culture (300+ prototypes).
MagicLab,Ankara,Ankara (METU Technopolis),2013,~63,unknown; claim of 1.6B+ downloads,https://maglab.com.tr,hello@maglab.com.tr (general),hyper-casual → casual,unknown,unknown,unknown,independent,High download volume Ankara studio.
Kodobur,Ankara,Ankara (METU Technopolis),unknown,~11,unknown,https://www.kodobur.com,unknown,PC/console indie + publishing,The Last Zone,yes — TOGED internship history,unknown,independent,Indie development and publishing.
Backpack Games,Ankara,Ankara,unknown,unknown,unknown,https://www.backpack.games,unknown,mobile casual / craft,Sushi Craft; Burger Craft; Clean The Sea!; Food Craft,unknown; TOGED member,unknown,independent,Games from Turkey participant.
MildMania,Ankara,Ankara,2013,unknown,unknown,https://www.mildmania.com,contact@mildmania.com (general); hr@mildmania.com (HR),indie mobile puzzle,Darklings; Rop; Darklings: Idle RPG,yes — TOGED internship history,unknown,independent,Quality indie puzzle.
Momend,Ankara,Ankara,unknown,unknown,unknown,https://momend.com,unknown,multiplayer mecha,Mech Wars; Mech Arena,unknown; TOGED member,unknown,independent,6v6 mecha battle game.
Funexagon,Ankara,Ankara,unknown,unknown,unknown,https://funexagon.net,unknown,game,unknown,unknown; TOGED member,unknown,unknown,TOGED member; product detail limited.
Kuixo,Ankara,Ankara,unknown,unknown,unknown,https://www.kuixo.com,unknown,mobile puzzle / match,Triple Star; Match Puzzle,unknown; TOGED member,unknown,independent,Games from Turkey delegation.
Happy Games,Ankara,Ankara,unknown,unknown,unknown,https://www.happygamecompany.com,hi@happygamecompany.com (general),game,unknown,unknown; TOGED member,unknown,unknown,TOGED member.
Marker Games,Ankara,Ankara (METU Technopolis),2020,~9,unknown,https://marker.gs,unknown,game,unknown,unknown; TOGED member,unknown,independent,Small Technopark studio.
Dinomore Games,Ankara,Ankara,2025,unknown,unknown,https://www.dinomoregames.com,contact@dinomoregames.com (general),PC/console; porting,Ducks In Disguise,unknown; TOGED member,unknown,independent,New PC/console studio.
Otsimo,Ankara,Ankara,2015,unknown,unknown,https://otsimo.com,support@otsimo.com (support),special training / gamification,Otsimo Special Education; Otsimo Speech Therapy; Otsimo ABA,unknown; TOGED member,unknown,independent,Edtech; listed due to TOGED membership. Special-education / speech-therapy apps (games + edtech).
Pixofun,Ankara,Ankara (METU CoZone),2005/2018 (remake),small (1–10),unknown,https://pixofun.com,info@pixofun.com (general),serious games / gamification,Footbo City; QuizGame; Football Manager lite,yes — TOGED internship history,unknown,independent,Serious games / learning.
SciPlay (Ankara varlığı),Ankara,Ankara (via Alictus),—,Alictus team,Alictus acquisition,https://www.sciplay.com,sciplaydpo@sciplay.com (general),social / casual (group),Alictus portfolio; Jackpot Party Casino; Gold Fish Casino; Quick Hit Casino,unknown; on TOGED member list,unknown,SciPlay (publicly traded in the USA),Listed as an Ankara member in TOGED. Light & Wonder; Ankara link via Alictus acquisition.
Masomo,Izmir,Izmir (+ London),2015/2016,~85–100,Miniclip acquisition 2019,https://masomo.com,support@masomo.com (support); peopleandculture@masomo.com (HR); ik@masomo.com (HR),social multiplayer sports,Head Ball 2; Basketball Arena; Online Head Ball,unknown,unknown,Miniclip / Tencent,Izmir's most well-known global exit. Part of Miniclip; Izmir & London offices.
Digitoy Games,Izmir,Izmir (Teknopark Izmir / Urla),2011/2012,~12,unknown; daily ~200K active users (previous statement),https://digitoygames.com,info@digitoygames.com (general); support@digitoygames.com (support),online multiplayer; dominoes / board games,Okey Extra; 101 Okey Extra; Poker Extra; Backgammon Extra; Batak Extra,yes — TOGED internship history,unknown,independent,LinkedIn ~12; Teknopark Izmir; board games / okey. Leading TR social board-game apps via Okey/101 Okey Extra.
MythraTech,Izmir,Izmir,2018,unknown,unknown,https://www.mythratech.com,unknown,PC simulation / strategy / action,Sailor's Journey; Opie the Defender,yes — TOGED internship history,unknown,independent,TOGED member (spelled as MytrhaTech).
Mobge,Izmir,Izmir (Bornova HQ); Eskişehir office,2011/2014,~20,~$360K/year LinkedIn estimate (low confidence),https://mobge.net,support@mobge.net (support),premium mobile; platformer; hyper,Oddmar; Hand Strike; Oddmar: World Adventurer,unknown,hybrid (2021 statement),independent,Apple Design Award history (Oddmar).
Mage Games,Izmir,Izmir (DEPARK),2022,unknown,$3.5M investment led by Actera (2024); Goal Battle 2M+ downloads,https://magegames.com,support@magegames.com (support),PvP mobile sports,Goal Battle; Football Clash,unknown,unknown,independent (Actera/Ludus),DEPARK launched; rising Izmir studio from PocketGamer.
Ruff Games,Izmir,Izmir (Buca / DEPARK),2019,unknown,unknown,https://ruffgamestudio.com,ozan@ruffgamestudio.com (general),hybrid-casual puzzle,Hidden Case; Factory Jam; Cap Sort; Case Hunter,unknown,unknown,independent,DEPARK ecosystem.
Furtle Game,Izmir,Izmir (DEPARK Beta / Buca),2016/2022,~4,TÜBİTAK 1507 support (2025 news),https://furtlegame.com,unknown,hyper-casual / idle,Pest Office!; Gold Panning!; Bakery Idle!; Idle Office,unknown,unknown,independent,DEPARK; IZOOTOP Game Jam partnership.
Althera Games,Izmir,Izmir (DEPARK Tınaztepe),unknown,unknown,unknown,https://altheragames.com,info@altheragames.com (general); press@altheragames.com (press),Unreal / PC-focused indie,unknown,student/indie support (blog); official internship program unknown,unknown,independent,Publishing UE5 guides and studio setup content.
Sharky Studios,Izmir,Izmir (Konak / Mistral),unknown,unknown,unknown,https://sharkystudios.com,unknown,mobile and web,10+ games,unknown,unknown,independent,small studio based in Izmir.
Pyro Games,Izmir,Izmir (Teknopark Izmir),2021,small (2–10),40M+ download claim (Teknopark İzmir),https://pyrogames.io,unknown,mobile shooter/merge; PC/console ARPG,K-Sniper Challenge; Merge Battle Tactics; Netherwyn,unknown,unknown,independent,Early mobile volume + Netherwyn ARPG focused.
Toon Metal Games,Izmir,Izmir (Urla / Teknopark Izmir),2021,~11,Boğaziçi Ventures portfolio,https://tm.rocks,support@toonmetal.games (support),casual / hybrid-casual + multiplayer infrastructure,beauty salon; hamster escape; sudoku/decor,career page available,unknown,independent (BV),References to Istanbul; operation in Urla/Teknopark.
Anisoft Games,Izmir,Izmir (Teknopark Izmir),~2021,unknown,unknown,https://anisoftgames.com,contact@anisoftgames.com (general),mobile,unknown,unknown,unknown,independent,Technopark Izmir registered mobile studio.
Cave Animasyon,Izmir,Izmir (Teknopark Izmir),unknown,unknown,unknown,https://www.cavevfx.com,unknown,game + animation / VR / simulation / VFX,unknown,unknown,unknown,independent,Founder from Pixar/DreamWorks; intersection of games and animation.
Stride Games,Izmir,Izmir (Urla),unknown,~6 (LinkedIn),unknown,https://stridegames.co,info@stridegames.co (general),mobile,unknown,unknown,unknown,independent,Site under construction; Gamescom 2026 İZKA noble.
Gizmolabz,Izmir,Izmir,unknown,unknown,unknown,,unknown,game / web game,unknown,unknown,unknown,independent,On the İZKA Gamescom 2026 reserve list; no official site — gizmolabz.com is a hijacked redirect page and must not be used.
Negentra,Eskişehir,Eskişehir,unknown,unknown,unknown,https://www.negentra.com.tr,info@negentra.com.tr (general),XR / simulation / digital twin / serious games,unknown,yes — TOGED internship history,unknown,independent,Eskişehir member at TOGED; game + simulation.
Analiz Games,Eskişehir,Eskişehir,2022,unknown,unknown,https://analizgames.com,analizgamesco@gmail.com (general),PC/mobile platform; AI research,Stress Ball (Steam); Stress Ball,career page exists; open internship unknown,unknown,independent,Anatolian ecosystem independent studio.
Gorgonize Games,Eskişehir,Eskişehir,2022,unknown,unknown,https://gorgonizegames.com,unknown,PC / console / board game,Crime Scene (Suç Mahalli),unknown,unknown,independent,City weak in primary resources; references to Eskişehir.
Zahiri Studio,Eskişehir,Eskişehir,2015,~3,unknown,https://www.linkedin.com/company/zahiri-studio,unknown,game art / 2D-3D / UI,service studio,unknown,unknown,independent,"Not a developer, art/service."
Teneke Kafalar Studios,Eskişehir,Eskişehir,unknown,unknown,unknown,https://tenekekafalar.com,business@tenekekafalar.com (business),PC multiplayer / party / co-op horror,Feign; Feather Party; Throwia; Party Game Night,unknown,unknown,independent,City citation level; rich portfolio.
Mobge Eskişehir ofisi,Eskişehir,Eskişehir (Anadolu Teknopark),2014,Mobge total ~20,see Mobge,https://mobge.net,support@mobge.net (support),mobile,Oddmar; Hand Strike; Oddmar: World Adventurer,unknown,hybrid,independent,HQ Izmir; office in Eskişehir.
Pundun Games,Other cities,Bursa,2022/2023,~3,unknown,https://pundun.co,hi@pundun.co (general); cv@pundun.co (general),mobile hyper/hybrid/midcore,Smash Ball Up; Merge and Battle!; Chaos Arena,CV accepted (cv@pundun.co); official internship unknown,unknown,independent,Bursa independent studio.
LablaGames,Other cities,Bursa (Osmangazi),unknown,11–50 range,unknown,https://www.linkedin.com/company/lablagames,unknown,mobile,unknown,unknown,unknown,LablaSoft,LinkedIn based; cautious registration.
Keby Games,Other cities,Bursa (Nilüfer),2017,unknown,unknown,https://www.keby.net,info@keby.net (general); games@keby.net (general),mobile multiplayer / casual,Nightcore; VegaOnline; Word Busters; Wonder Boys,unknown,unknown,independent (Baypro),Mobile studio based in Bursa.
Click Game Studio,Other cities,Bursa (Nilüfer),~2020,unknown,VOR 4.5M TL + Netmarble Turkey investment (2021),https://www.instagram.com/clickgamestudio/,unknown,hyper-casual mobile,unknown,unknown,unknown,Netmarble Turkey related,"Bursa hyper-casual; closed as an independent studio after the exit to Netmarble, and the domain has lapsed."
SPT Studios,Other cities,Muğla & Bursa,2024,small,unknown,https://sptstudios.com,contact@sptstudios.com (general),mobile casual / shooter / puzzle,Glow Tiles; Squad Ops; Boost Raid; Lost Haven,unknown,unknown,independent,Two-city independent mobile studio.
Happy Crab,Other cities,Kocaeli (Technology Valley),2020,unknown,unknown,https://happycrab.com.tr,unknown,mobile development/publishing,Zatonya Chasing Asteroid; CDS - Car Drifting Simulator 2023,unknown,unknown,independent,AA news story; Bilişim Vadisi. The official site's TLS certificate has been expired since 2023.
Spell Factory,Other cities,Gebze / Informatics Valley (Kocaeli),~2024/2025,~7 founding team,unknown,https://spellfactory.games,unknown,platformer; Web3,Clashub; The Infected Soul,career page available,unknown,independent,Not Eskişehir; Gebze.
ATTA Games,Other cities,Antalya (OSB Technopark / Döşemealtı),2024,~6,unknown,https://atta.games,hi@atta.games (general); partner@atta.games (partnerships),puzzle / hybrid-casual,unknown,unknown,unknown,independent,Antalya OSB Technopark studio.
32play,Other cities,Antalya (Konyaaltı),2022,~2,$2M fund (LinkedIn),https://32play.pro,unknown,game tools / resources,unknown,unknown,unknown,independent,Antalya + US presence.
TAMU Games,Other cities,Antalya,2024,unknown,unknown,https://www.linkedin.com/company/tamugames,unknown,PC / console indie,King Slayer,unknown,unknown,independent,Antalya-based PC/console studio; tamugames.com has been down since December 2025 and it may have closed.
Pokuch,Other cities,Trabzon,2019,~10,unknown,https://pokuch.com,contact@pokuch.com (general),PC survival adventure,Blind Descent,unknown,unknown,independent,Trabzon HQ.
Feelcrafters,Other cities,Gaziantep (Teknopark),~2023,unknown,unknown,https://feelcrafters.com,hello@feelcrafters.com (general),mobile puzzle,unknown,There is a gradual hiring process; internship details unknown,unknown,independent,Gaziantep Technopark studio.
Rubedo Games,Other cities,Mersin,2022,~4,unknown,https://store.steampowered.com/search/?developer=Rubedo%20Games,unknown,PC indie,Soulbind: Tales of the Underworld,unknown,unknown,independent,Mersin HQ; international presence.
Arkhe Games,Other cities,Mersin (office; remote team),2021,~34 (company statement; 3 continents),50M+ downloads / 140 countries (company),https://arkhegames.com,contact@arkhegames.com (general),mobile hyper/hybrid,Human Fortune; Battery Run,unknown,remote-heavy + Mersin office,independent,Mersin-based scaled mobile studio.
Wide Game Studio,Other cities,Kayseri (AGÜ),2019,~9,$1.2M valuation claim (2024),https://widegamestudio.com,info@widegamestudio.com (general),AR/VR,Flare Frenzy; Flare Frenzy 2; Santa Climber; GRAVI; Wizard's Legacy; Wizard's Tower,unknown,unknown,independent,AA / Workup Gaming visibility.
Kirpy Games,Other cities,Adana (Seyhan),2021,unknown,unknown,https://kirpygames.com,info@kirpygames.com (general),casual / hyper-casual mobile,unknown,unknown,unknown,independent,Adana-based mobile studio.
imaginite Games Studio,Other cities,Istanbul (since 2022; previously Adana Çukurova Teknopark),2015,unknown,unknown,https://imaginitesoft.com/,unknown,mobile + animation,unknown,unknown,unknown,independent,Moved from Adana to Istanbul in 2022; activity could not be verified since 2025 and it appears dormant.
